"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,380937.533245639,201636.25594903,560238.810542248,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"2",1971,189043.279973778,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"3",1972,349065.737139574,223326.603447876,474804.870831272,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"4",1973,191491.623776765,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"5",1974,191927.591350361,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"6",1975,340587.877474066,227618.662741611,453557.092206522,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"7",1976,609385.558395534,324646.412582419,894124.70420865,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"8",1977,546425.247349081,331553.738142876,761296.756555285,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"9",1978,564358.367625022,364369.57965783,764347.155592214,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"10",1979,565053.558377063,362420.052798073,767687.063956053,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"11",1980,563741.915070843,364631.71926382,762852.110877866,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"12",1981,558930.407756695,368919.439931345,748941.375582046,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"13",1982,556839.738566994,371448.960013508,742230.517120481,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"14",1983,548742.275530534,374615.269731714,722869.281329354,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"15",1984,505018.997278332,343188.228096897,666849.766459767,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"16",1985,542155.484038666,365794.49466677,718516.473410561,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"17",1986,708564.519484513,476996.07208112,940132.966887907,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"18",1987,755696.001036831,521160.197051034,990231.805022627,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"19",1988,784187.339389038,528742.362564124,1039632.31621395,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"20",1989,505574.34449353,352466.328985057,658682.360002002,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"21",1990,839087.253144148,456484.849322204,1221689.65696609,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"22",1991,800774.335684417,524828.176801874,1076720.49456696,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"23",1992,969808.343488956,585017.580333271,1354599.10664464,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"24",1993,1064198.55892379,637975.168271392,1490421.94957619,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"25",1994,1079166.32043029,628618.838690394,1529713.80217018,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"26",1995,1102112.68963927,593660.891803838,1610564.4874747,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"27",1996,1094788.20274133,584943.155658295,1604633.24982437,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"28",1997,1275142.78078535,599148.117806808,1951137.4437639,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"29",1998,1441820.44256639,430220.416624067,2453420.46850871,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"30",1999,1172665.36685611,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"31",2000,1051141.54069205,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"32",2001,1194859.33694968,664333.309368055,1725385.3645313,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"33",2002,1146450.56040548,675990.503870888,1616910.61694007,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"34",2003,1484458.12116713,673589.378511803,2295326.86382245,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"35",2004,2771189.13748224,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"36",2005,3089954.61210941,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"37",2006,3003716.02756312,-383037.714995488,6390469.77012173,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"38",2007,5558013.41769278,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"39",2008,5106418.34735977,-5662938.79083772,15875775.4855573,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"40",2009,6918263.77884519,-12971661.352669,26808188.9103594,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"41",2010,3988018.69906074,-2090232.04005338,10066269.4381749,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
