"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"logA[1]",2.40620202695731,0.00323748098083462,0.528628939213795,1.35362940780804,2.0522646592607,2.41016264034137,2.76734658985648,3.42855799277152,26659,1.00012846164013,1,1.53174531420862,2.41016264034137,3.26029488355181,0.00578971678566531,0.00388602839659913,0.00369307923806073,0.00676358316912395,0.00568197744294485,0.00230326178803781,26615,58592
"logA[2]",2.56120538805569,0.00394563246681496,0.563261953793917,1.43280957181033,2.18879723893349,2.57225985682341,2.93995434541615,3.65397106990745,20578,1.00036432702275,1,1.62583343343847,2.57225985682341,3.46967772399526,0.00640218565752049,0.00610466838831925,0.00430951832863036,0.00347953689719804,0.00590953049174292,0.00279002346643739,20642,50229
"logA[3]",2.44163889437813,0.00366084847156341,0.545356838376249,1.34103074285328,2.0810469640182,2.44918554290662,2.80754360295124,3.49607749491766,22126,1.00011299957968,1,1.53685124542129,2.44918554290662,3.32889044612704,0.0140989338809602,0.00600278936060183,0.00390450764257144,0.00345638056658881,0.00518786606279931,0.00258864483371633,23288,20492
"logA[4]",2.62867605429495,0.00328040161944467,0.52623459623401,1.57877929564453,2.27939999974941,2.63479658175807,2.98654249392052,3.64821050726463,25517,1.00015480258913,1,1.75464865609009,2.63479658175807,3.47944327688463,0.0064914864038319,0.00374615100723608,0.00389150226453805,0.00575261969202212,0.00525040848949243,0.0023196205118107,25598,47982
"logA[5]",2.38450224694551,0.00359295245164694,0.544181971685488,1.29259901253555,2.02706871162464,2.38966084496986,2.74884808296125,3.43402479722396,22863,1.00014886381911,1,1.48072866623925,2.38966084496986,3.27339717159557,0.00613128809634367,0.00372660156477145,0.00385913433728247,0.00540914056588848,0.00573499087937335,0.00269485359303236,22763,43178
"logB[1]",-2.20506005105891,0.00224836695651757,0.332317348648801,-2.89030961231905,-2.41569816104868,-2.17696486992111,-1.96830563325762,-1.6402487992541,21817,1.00014093450224,1,-2.77507564482801,-2.17696486992111,-1.71555029564922,0.00480769837179396,0.00196021103177246,0.00199807023240761,0.00295094212017899,0.00199818794889861,0.00158985676474328,20439,52860
"logB[2]",-1.23211128168968,0.0148160651125813,0.370880944589889,-1.96035137245425,-1.37057694895229,-1.18047901060312,-1.01886264526892,-0.753906238885122,629,1.00063502882252,1,-1.76273095803721,-1.18047901060312,-0.81555509859775,0.0577942118482694,0.00318617350492401,0.00132601652786912,0.000915573321529362,0.00162461250239254,0.0143515216723665,5427,2319
"logB[3]",-2.2038179396723,0.00958505541426892,0.353141369720646,-3.00812627402851,-2.35932623893621,-2.14899217415261,-1.97906236988817,-1.70793956782795,1361,1.00060468344001,1,-2.77736615865639,-2.14899217415261,-1.76972160655871,0.0724310220539868,0.00522714415555425,0.00189960224943553,0.00107752717294374,0.0016479131669026,0.00839017657117164,5179,2542
"logB[4]",-2.61387207431238,0.00107811238979111,0.219069463842728,-3.12271964767823,-2.73536648477945,-2.59016220472016,-2.46499802077107,-2.25292101209943,41369,1.00018356867677,1,-3.00710906072866,-2.59016220472016,-2.30195441959787,0.00557039747904997,0.00135297521434419,0.000982005550542508,0.00103374215595009,0.00160557034275999,0.000788965940210097,43242,27462
"logB[5]",-2.5348091988825,0.00315088484211814,0.344357394008663,-3.28993484182948,-2.7416138245808,-2.49684051542677,-2.29067895242167,-1.96845005734178,11964,1.00035525629157,1,-3.13368772714456,-2.49684051542677,-2.04399059045751,0.00832329831611522,0.00417516720107325,0.00224344134828081,0.00264636074841351,0.0016788378034277,0.00226702330726303,13103,17270
"logSigma[1]",-0.648275413020594,0.00088144960305777,0.185903830526353,-0.978604245687859,-0.77780678510404,-0.659819502508945,-0.530818001825757,-0.252252211419514,44588,1.00031946987835,1,-0.933673976111646,-0.659819502508945,-0.324107796132933,0.00125111173965686,0.00149776903785509,0.00088761745036714,0.000893023445020569,0.0022254577810267,0.000692513192745928,40354,40064
"logSigma[2]",-0.403609141346756,0.000925589292828195,0.186838804975715,-0.738317650087108,-0.533544891984768,-0.415105133408692,-0.284641583022938,-0.00687258173398028,40928,1.00022928682285,1,-0.690474822450373,-0.415105133408692,-0.0802888534162459,0.00119433877009706,0.000687517209320976,0.000981884119726883,0.00210029535226527,0.00227412685086754,0.000654495142320129,45888,82215
"logSigma[3]",-0.430871990133427,0.00151943505154182,0.187905853979532,-0.766146751041337,-0.562304991238839,-0.443030077210304,-0.312704959838318,-0.0295046723884144,15244,1.00015299824759,1,-0.71806109297839,-0.443030077210304,-0.0977888301525611,0.00111439024583099,0.000821058796622309,0.00106554416534793,0.0017202580682861,0.00283228517521466,0.00107442330833553,18498,3314
"logSigma[4]",-0.731418007015058,0.00113923040606268,0.189785463872005,-1.07069222580559,-0.864673522205203,-0.742647752907111,-0.610114810738818,-0.326456602214058,27120,1.00025362076455,1,-1.02179922208135,-0.742647752907111,-0.402090482231661,0.00127463143101159,0.00138310552002835,0.00134887918373339,0.00164339079560832,0.00410390648509779,0.000847615225324332,26612,30269
"logSigma[5]",-0.471455481542983,0.000543966069845916,0.185343482957117,-0.804632854194242,-0.600614479124341,-0.481578085136894,-0.354661051516229,-0.076018906665519,116127,1.0000451408436,1,-0.756788224712167,-0.481578085136894,-0.147550733175694,0.00119918172419675,0.000747962725044238,0.000910732391420921,0.000914839845680526,0.00192694353790955,0.000384643011973844,120018,87146
"logSgen[1]",0.474886687386285,0.0030639895092297,0.425675127247227,-0.346172266755769,0.24310138284299,0.512674968097777,0.759720703171399,1.10124117862341,19384,1.00025914629018,1,-0.185753014747354,0.512674968097777,1.04425207007256,0.0112498219269139,0.00405419186490263,0.00225195358170804,0.00174115576990497,0.00157354397082532,0.00216660048320268,17864,9590
"logSgen[2]",-1.00167557386589,0.0136577690196246,1.19361730170712,-5.02115029536812,-1.24157110079895,-0.70994051684356,-0.30876605071898,0.273972338581303,7636,1.00027083640784,1,-3.58861291085133,-0.70994051684356,0.157540270003187,0.0743665461100149,0.01064919296824,0.00381552201934943,0.00248892460098604,0.00285860588322695,0.00965786991808918,19511,4525
"logSgen[3]",0.374251193093493,0.0245751980050822,0.703481997169705,-0.478092030454278,0.212805311365037,0.458732010426501,0.688399093835297,1.06582523898037,819,1.00054030031245,1,-0.226204409304347,0.458732010426501,0.985418240675651,0.0917519026317799,0.00355801182288884,0.00225351520917938,0.00342057932441309,0.00318761276215396,0.0191053416213825,5784,2612
"logSgen[4]",0.919892667383357,0.00187621672066313,0.287526644629997,0.376868291150084,0.742083568686664,0.921145747215274,1.1008793678422,1.46682047399359,23468,1.00017207598342,1,0.471382095324,0.921145747215274,1.37109381137094,0.00301203499273939,0.00182970944189353,0.00143589834213476,0.00154817554136333,0.00426762709172923,0.00178126910935495,52444,46260
"logSgen[5]",0.777334444683213,0.00354132085064915,0.50142692376483,0.0517364816606691,0.581274236258936,0.817459240781739,1.04488371629993,1.39512270891028,19975,1.00043012813949,1,0.205152642391627,0.817459240781739,1.33263433751373,0.00765137580987663,0.00331790655603337,0.00235197837683065,0.003397910346846,0.00200763881387989,0.00261972173350273,12777,36885
"B_0",-13.7600348977772,0.067646675508608,7.76163873846606,-32.6492254588086,-17.7439334342386,-12.3073053367509,-8.20311991079572,-2.87107409710494,13254,1.00036051374538,1,-28.633349433536,-12.3073053367509,-3.96070842168359,0.177495225219072,0.087151857345896,0.0515573812148995,0.0424781747463641,0.0223579226385353,0.047834482863514,15526,8788
"B_1",0.89258903477124,0.004085725883736,0.486893726622973,0.229092257344503,0.54230044036271,0.794904381015063,1.14086270529184,2.0830350017319,14273,1.00036876248338,1,0.290294513355159,0.794904381015063,1.83330916262428,0.0014220647168354,0.00209973840042732,0.00284405576375996,0.00545018037272804,0.0108004636109384,0.00288910379718031,16707,8880
"gamma",0.374397155619791,0.000642243896241046,0.113165907546551,0.149802537311696,0.298882998327369,0.375351319979784,0.450607121680921,0.595820117583884,31042,1.00010065453135,1,0.188171620103356,0.375351319979784,0.559320967778368,0.00144147873601198,0.000734958424590954,0.000820456909822659,0.000790717516519074,0.000997253491872019,0.000454139297893642,30986,55389
"logMuA",2.46665744675872,0.00286942769519132,0.532353494348523,1.40111486299182,2.11822940811165,2.47310599990328,2.82038528034006,3.49989902018298,34417,1.00005062542516,1,1.58371847796457,2.47310599990328,3.33178507981065,0.00685384645732923,0.0039344684543452,0.00337940125266334,0.00323115038037658,0.00480706201189074,0.00202900891517438,34440,49925
"logSigmaA",-1.010432401533,0.00622423599871564,0.449621587616852,-1.76267263780544,-1.32887235391406,-1.05576697141961,-0.739829759579784,0.0183243561593331,5228,1.00039999821126,1,-1.66525493176639,-1.05576697141961,-0.195282440595738,0.00227511209069309,0.00167367000626251,0.00284629455069652,0.00774047905535352,0.0384221654304137,0.00440144550277594,7163,2318
"lp__",-116.200871536615,0.0329758869388193,4.4976622605697,-126.049286632114,-119.04045142257,-115.77840140596,-112.958235189043,-108.582454929944,18597,1.00028652315015,1,-124.172011828129,-115.77840140596,-109.555566338312,0.0780688727973384,0.069933619493554,0.0332533550731213,0.0245955559584914,0.0219698944772801,0.0233913652327089,19870,37848
