"","CU","Year","Escape","Catch","TS","ER","Age3r","Age4r","Age5r","Age6r","Return","Age3b","Age4b","Age5b","Age6b","TR","Recruit"
"1","SCS",1953,104071,13163,117233,0.11,"NA","NA","NA","NA",117234,"NA","NA","0.00","0.00","NA",NA
"2","SCS",1954,124844,14894,139738,0.11,"NA","NA","NA","NA",139738,"NA","76258.57","576.36","0.00","NA",NA
"3","SCS",1955,58678,5766,64444,0.09,"NA","NA","NA","NA",64444,"58660.43","16672.64","173.47","0.00","75506.55",75506.1154575744
"4","SCS",1956,63437,8268,71705,0.12,"NA","NA","NA","NA",71705,"8572.99","11198.79","1058.42","0.00","20830.20",20830.2015002438
"5","SCS",1957,107986,5623,113609,0.05,"NA","NA","NA","NA",113609,"7225.74","48021.29","1512.01","0.00","56759.04",56759.0385431877
"6","SCS",1958,125423,9496,134918,0.07,"0.43","0.57","0.00","0.00",134919,"6098.29","17323.60","290.95","0.00","23712.84",23712.8447691959
"7","SCS",1959,23978,1844,25822,0.07,"0.33","0.65","0.02","0.00",25822,"72503.39","36775.75","314.78","0.00","109593.92",109594.56794516
"8","SCS",1960,16841,1757,18598,0.09,"0.39","0.60","0.01","0.00",18598,"19844.30","34603.62","70.22","0.00","54518.14",54518.4912100965
"9","SCS",1961,51918,3260,55178,0.06,"0.11","0.87","0.02","0.00",55178,"10361.60","1839.96","228.60","0.00","12430.16",12430.1648774267
"10","SCS",1962,89152,2187,91339,0.02,"0.79","0.19","0.02","0.00",91339,"1061.81","12782.83","758.42","0.00","14603.06",14603.0475857069
"11","SCS",1963,53777,3134,56912,0.06,"0.35","0.65","0.01","0.00",56911,"2389.57","20141.98","236.87","0.00","22768.42",22768.0558892189
"12","SCS",1964,44108,1172,45280,0.03,"0.23","0.76","0.01","0.00",45280,"35066.61","38833.17","2660.03","0.00","76559.81",76559.1454490585
"13","SCS",1965,2937,35,2972,0.01,"0.36","0.62","0.02","0.00",2972,"7880.96","36765.11","501.00","0.00","45147.06",45146.5569913279
"14","SCS",1966,15264,137,15401,0.01,"0.16","0.83","0.01","0.00",15401,"33022.86","48417.46","1881.97","0.00","83322.29",83321.7239015373
"15","SCS",1967,54402,1565,55966,0.03,"0.63","0.36","0.01","0.00",55967,"4560.55","8257.82","1138.09","0.00","13956.45",13955.9785025306
"16","SCS",1968,44636,2315,46951,0.05,"0.17","0.83","0.01","0.00",46951,"7199.21","56164.14","19507.62","236.02","83107.00",83106.580381099
"17","SCS",1969,69040,3408,72447,0.05,"0.46","0.51","0.04","0.00",72448,"4404.76","95060.75","17437.20","0.00","116902.71",116902.710435437
"18","SCS",1970,50229,3250,53479,0.06,"0.09","0.91","0.01","0.00",53479,"3103.63","36510.80","688.75","0.00","40303.17",40303.1739633217
"19","SCS",1971,16707,632,17338,0.04,"0.42","0.48","0.11","0.00",17339,"14212.99","8374.56","1215.60","0.00","23803.14",23803.1377037295
"20","SCS",1972,57124,4583,61707,0.07,"0.07","0.91","0.02","0.00",61707,"11676.70","70343.97","1205.71","0.00","83226.38",83226.3973274401
"21","SCS",1973,107268,10404,117672,0.09,"0.03","0.81","0.17","0.00",117672,"12443.44","40424.17","1024.40","0.00","53892.01",53892.7518331648
"22","SCS",1974,66458,1939,68397,0.03,"0.21","0.53","0.25","0.00",68397,"12745.12","41488.24","5248.59","0.00","59481.95",59482.1886721299
"23","SCS",1975,19392,1348,20740,0.06,"0.56","0.40","0.03","0.00",20740,"7070.36","14675.06","161.99","0.00","21907.41",21907.4163676705
"24","SCS",1976,77396,6607,84003,0.08,"0.15","0.84","0.01","0.00",84003,"11378.34","15659.84","1486.97","0.00","28525.15",28525.8629941057
"25","SCS",1977,53305,1070,54376,0.02,"0.23","0.74","0.02","0.00",54375,"6239.17","17614.67","5989.54","16.69","29860.06",29860.3437889784
"26","SCS",1978,45785,3798,49583,0.08,"0.14","0.84","0.02","0.00",49583,"3078.37","53898.53","9671.22","101.20","66749.32",66749.3225171437
"27","SCS",1979,30840,462,31302,0.01,"0.36","0.47","0.17","0.00",31302,"14445.93","20451.59","2597.24","0.00","37494.76",37494.7173619803
"28","SCS",1980,21008,1053,22062,0.05,"0.28","0.71","0.01","0.00",22061,"6413.50","26289.14","1316.74","0.00","34019.37",34018.8902308594
"29","SCS",1981,22015,165,22180,0.01,"0.14","0.79","0.07","0.00",22180,"28096.41","33571.26","2415.51","7.54","64090.71",64089.61650867
"30","SCS",1982,68381,5953,74334,0.08,"0.19","0.73","0.08","0.00",74334,"20562.01","21886.55","4763.47","167.36","47379.40",47379.0286473812
"31","SCS",1983,36099,454,36553,0.01,"0.18","0.56","0.26","0.00",36553,"3065.94","27328.40","6505.76","17.05","36917.15",36917.2877181722
"32","SCS",1984,56848,236,57083,0,"0.49","0.46","0.05","0.00",57084,"3853.59","37463.94","1055.41","23.45","42396.39",42397.178287993
"33","SCS",1985,54332,1118,55449,0.02,"0.37","0.61","0.02","0.00",55450,"3196.07","2806.80","1865.16","12.47","7880.50",7880.50743132699
"34","SCS",1986,25865,1503,27368,0.05,"0.11","0.80","0.09","0.00",27368,"537.74","28875.16","3446.71","36.43","32896.04",32895.1100542179
"35","SCS",1987,35611,342,35953,0.01,"0.11","0.76","0.13","0.00",35953,"357.23","3835.54","783.16","22.87","4998.80",4998.7861512791
"36","SCS",1988,44400,2796,47197,0.06,"0.07","0.79","0.14","0.00",47196,"1099.27","8444.84","1201.95","44.88","10790.95",10790.9489498793
"37","SCS",1989,4207,210,4417,0.05,"0.12","0.64","0.24","0.00",4417,"359.57","3343.40","1247.45","35.49","4985.91",4985.89677175114
"38","SCS",1990,29131,1990,31120,0.06,"0.01","0.93","0.06","0.00",31121,"212.79","3173.24","584.66","32.53","4003.22",4003.00634973772
"39","SCS",1991,8213,181,8394,0.02,"0.13","0.46","0.41","0.00",8394,"484.43","1601.66","399.51","0.18","2485.78",2485.20480875022
"40","SCS",1992,8942,682,9624,0.07,"0.04","0.88","0.08","0.00",9624,"563.20","3217.53","11.97","4.36","3797.07",3796.86483690529
"41","SCS",1993,4517,264,4781,0.06,"0.04","0.70","0.25","0.00",4781,"1127.42","210.67","274.53","3.50","1616.13",1616.12553433334
"42","SCS",1994,4633,317,4950,0.06,"0.10","0.64","0.25","0.01",4950,"35.13","4672.49","356.41","15.85","5079.87",5079.87128463161
"43","SCS",1995,2674,111,2784,0.04,"0.20","0.58","0.21","0.01",2785,"691.62","1187.21","196.05","0.00","2074.88",2074.88450018665
"44","SCS",1996,4659,118,4777,0.02,"0.24","0.67","0.08","0.01",4777,"222.88","2781.56","35.42","0.00","3039.86",3039.8574178138
"45","SCS",1997,254,4,258,0.01,"0.14","0.82","0.05","0.00",258,"328.54","830.42","340.67","4.82","1504.46",1504.45541746431
"46","SCS",1998,5413,230,5643,0.04,"0.12","0.83","0.05","0.00",5643,"343.16","1831.22","164.46","3.95","2342.78",2342.78055261695
"47","SCS",1999,1748,22,1770,0.01,"0.13","0.67","0.20","0.00",1770,"540.11","3084.83","308.51","208.43","4141.89",4141.88821095473
"48","SCS",2000,3178,144,3322,0.04,"0.10","0.84","0.06","0.00",3322,"375.89","809.30","1883.45","0.00","3068.65",3068.64596917301
"49","SCS",2001,1189,20,1209,0.02,"0.28","0.69","0.03","0.00",1209,"218.19","11246.12","431.57","0.00","11895.87",11895.8704521341
"50","SCS",2002,2647,65,2712,0.02,"0.20","0.68","0.13","0.00",2712,"2004.00","8336.59","16.31","15.12","10372.02",10372.1182657569
"51","SCS",2003,3499,131,3630,0.04,"0.10","0.85","0.05","0.00",3630,"1757.84","146.82","1772.88","16.90","3694.45",3695.31058118103
"52","SCS",2004,1277,59,1336,0.04,"0.16","0.61","0.23","0.00",1336,"6.87","6020.62","355.81","0.00","6383.30",6383.33565838727
"53","SCS",2005,14645,697,15342,0.05,"0.13","0.73","0.12","0.01",15342,"5098.38","6170.47","96.43","4.55","11369.83",11370.037284281
"54","SCS",2006,10042,484,10526,0.05,"0.17","0.79","0.04","0.00",10526,"253.82","258.14","107.03","0.00","618.99",619.566620452582
"55","SCS",2007,169,1,171,0.01,"0.04","0.86","0.10","0.00",170,"104.44","5864.59","6627.98","NA","NA",NA
"56","SCS",2008,12671,236,12907,0.02,"0.40","0.47","0.14","0.00",12907,"107.83","9756.43","NA","NA","NA",NA
"57","SCS",2009,6665,132,6797,0.02,"0.04","0.91","0.05","0.00",6797,"3073.39","NA","NA","NA","NA",NA
"58","SCS",2010,455,4,460,0.01,"0.23","0.56","0.21","0.00",459,"NA","NA","NA","NA","NA",NA
"59","SCS",2011,5882,202,6085,0.03,"0.02","0.96","0.02","0.00",6084,"NA","NA","NA","NA","NA",NA
"60","SCS",2012,25392,329,25721,0.01,"0.12","0.38","0.26","0.00",25721,"NA","NA","NA","NA","NA",NA
"61","NEVI",1953,120425,38734,159159,0.24,"NA","NA","NA","NA",159159,"NA","NA","0.00","0.00","NA",NA
"62","NEVI",1954,95823,29352,125175,0.23,"NA","NA","NA","NA",125175,"NA","55220.61","864.70","0.00","NA",NA
"63","NEVI",1955,100586,22489,123075,0.18,"NA","NA","NA","NA",123075,"42477.39","25013.49","641.21","0.00","68132.09",68132.0806474589
"64","NEVI",1956,55933,17029,72962,0.23,"NA","NA","NA","NA",72962,"12861.81","41394.81","1329.35","0.00","55585.97",55585.3679123922
"65","NEVI",1957,67608,7264,74872,0.1,"NA","NA","NA","NA",74872,"26708.98","60313.38","493.37","0.00","87515.72",87515.3506773717
"66","NEVI",1958,82787,14911,97698,0.15,"0.43","0.57","0.00","0.00",97698,"7659.28","5652.71","135.28","0.00","13447.26",13447.4506277133
"67","NEVI",1959,32948,5792,38740,0.15,"0.33","0.65","0.02","0.00",38740,"23657.92","17099.04","247.58","0.00","41004.54",41005.3346769334
"68","NEVI",1960,55452,13293,68744,0.19,"0.39","0.60","0.01","0.00",68745,"9226.69","27216.73","668.89","0.00","37112.30",37112.3208194926
"69","NEVI",1961,60965,8337,69302,0.12,"0.11","0.87","0.02","0.00",69302,"8149.69","17525.47","702.15","0.00","26377.32",26377.940758843
"70","NEVI",1962,28240,1564,29805,0.05,"0.79","0.19","0.02","0.00",29804,"10113.64","39263.16","322.18","0.00","49698.98",49699.3360274569
"71","NEVI",1963,23169,3292,26461,0.12,"0.35","0.65","0.01","0.00",26461,"7339.69","8556.39","458.94","0.00","16355.01",16355.0060516647
"72","NEVI",1964,33827,1787,35614,0.05,"0.23","0.76","0.01","0.00",35614,"14896.43","75238.80","612.58","0.00","90747.81",90746.9806273917
"73","NEVI",1965,27666,642,28309,0.02,"0.36","0.62","0.02","0.00",28308,"15269.27","8466.61","287.27","0.00","24023.15",24022.9811292352
"74","NEVI",1966,46506,799,47305,0.02,"0.16","0.83","0.01","0.00",47305,"7604.81","27762.70","1166.70","0.00","36534.20",36534.204837241
"75","NEVI",1967,22297,1478,23775,0.06,"0.63","0.36","0.01","0.00",23775,"2615.03","5119.28","643.81","0.00","8378.12",8378.1202064917
"76","NEVI",1968,80966,10001,90966,0.11,"0.17","0.83","0.01","0.00",90967,"4463.02","31771.47","7429.08","35.40","43698.97",43698.8032433466
"77","NEVI",1969,14698,1986,16684,0.12,"0.46","0.51","0.04","0.00",16684,"2491.73","36201.96","2615.44","0.00","41309.13",41308.3227314918
"78","NEVI",1970,26325,4340,30665,0.14,"0.09","0.91","0.01","0.00",30665,"1181.95","5476.33","419.29","0.00","7077.57",7077.54705592674
"79","NEVI",1971,10013,736,10749,0.07,"0.42","0.48","0.11","0.00",10749,"2131.83","5098.22","145.07","0.00","7375.13",7375.11219033083
"80","NEVI",1972,29243,5664,34907,0.16,"0.07","0.91","0.02","0.00",34907,"7108.48","8394.92","417.40","0.00","15920.81",15919.9681576241
"81","NEVI",1973,35423,9390,44812,0.21,"0.03","0.81","0.17","0.00",44813,"1485.01","13994.38","493.45","0.00","15972.85",15972.6980035068
"82","NEVI",1974,9644,615,10259,0.06,"0.21","0.53","0.25","0.00",10259,"4412.21","19984.78","1406.13","0.00","25803.12",25803.1210009351
"83","NEVI",1975,10943,1683,12626,0.13,"0.56","0.40","0.03","0.00",12626,"3405.77","3931.54","143.58","0.00","7480.89",7480.8939376176
"84","NEVI",1976,8206,1819,10024,0.18,"0.15","0.84","0.01","0.00",10025,"3048.33","13880.27","3720.70","0.00","20649.30",20649.2977048598
"85","NEVI",1977,18106,718,18824,0.04,"0.23","0.74","0.02","0.00",18824,"5530.15","44075.58","6511.91","4.44","56122.08",56122.0844360417
"86","NEVI",1978,19890,3994,23884,0.17,"0.14","0.84","0.02","0.00",23884,"7702.72","58599.26","2571.99","82.25","68956.23",68956.2264227636
"87","NEVI",1979,8147,239,8386,0.03,"0.36","0.47","0.17","0.00",8386,"15705.82","5438.95","2111.00","0.00","23255.77",23255.7720065814
