"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1970,173824.308422692,22340.2655923239,325308.35125306,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"2",1971,186620.99623818,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"3",1972,293894.232259942,196151.213954881,391637.250565003,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"4",1973,238787.375085809,81752.6840243319,395822.066147287,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"5",1974,241341.059850186,92863.5972804414,389818.522419931,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"6",1975,243293.022720168,102060.798963099,384525.246477237,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"7",1976,149707.587525294,-122383.029153206,421798.204203793,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"8",1977,63601.9660522109,-392307.604506839,519511.536611261,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"9",1978,140261.614863281,-171875.367715214,452398.597441775,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"10",1979,217371.596526,30098.4892177802,404644.70383422,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"11",1980,159623.12199508,-105746.163553423,424992.407543582,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"12",1981,120641.799167285,-224221.501353711,465505.09968828,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"13",1982,381243.40309928,193928.084098812,568558.722099748,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"14",1983,383269.332789395,196988.143973745,569550.521605044,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"15",1984,362375.266726502,175249.422830593,549501.110622411,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"16",1985,341784.564569363,94179.7651400053,589389.363998721,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"17",1986,427432.48714793,276716.658551982,578148.315743878,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"18",1987,386828.219496499,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"19",1988,432566.182815543,320268.855983023,544863.509648063,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"20",1989,371536.438592505,223570.646635757,519502.230549254,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"21",1990,430542.913580315,298594.024601047,562491.802559584,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"22",1991,409237.356511795,270742.322468481,547732.390555109,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"23",1992,479395.556750789,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"24",1993,436092.373662729,279375.182186104,592809.565139354,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"25",1994,406019.262942534,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"26",1995,419379.541765435,187084.897308003,651674.186222868,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"27",1996,410953.808416934,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"28",1997,410928.893764444,232182.729891081,589675.057637807,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"29",1998,428025.617626914,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"30",1999,581688.872760394,466051.178144114,697326.567376675,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"31",2000,599992.102111839,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"32",2001,518296.281183631,371122.455604556,665470.106762706,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"33",2002,-6137.05638880109,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"34",2003,542805.243090456,359313.934173886,726296.552007026,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"35",2004,517343.916241187,139666.786466918,895021.046015456,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"36",2005,417148.911161858,88678.895378593,745618.926945123,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"37",2006,-6137.05638880109,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"38",2007,435000.270749327,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"39",2008,399223.426771638,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"40",2009,412324.233358368,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"41",2010,462974.278463391,NA,NA,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
