"","Estimate","Std..Error","Param","Mod","CU_ID","CU_Name"
"278",10.9978173603081,1.50209936865336,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"279",11.0092017257898,1.52440778118821,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"280",11.019935620025,1.54679107451929,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"281",11.0300272767741,1.56924214678244,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"282",11.0394848484731,1.59175412097578,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"283",11.0483164069545,1.61432033705034,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"284",11.0565299441629,1.63693434423312,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"285",11.0641333728648,1.65958989359315,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"286",11.0711345273514,1.68228093085685,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"287",11.077541164137,1.7050015894761,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"288",11.0833609626501,1.72774618395001,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"289",11.0886015259197,1.75050920339901,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"290",11.0932703812557,1.77328530538832,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"291",11.0973749809231,1.79606930999657,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"292",11.1009227028114,1.81885619412405,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"293",11.1039208510974,1.84164108603452,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"294",11.1063766569032,1.86441926012348,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"295",11.1082972789485,1.88718613190593,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"296",11.1096898041973,1.90993725321561,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"297",11.1105612484992,1.93266830760825,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"298",11.1109185572254,1.95537510596073,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"299",11.1107686058995,1.97805358225824,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"300",11.1101182008226,2.00069978956174,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"301",11.1089740796932,2.02330989614778,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"302",11.1073429122228,2.04588018181319,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"303",11.1052313007448,2.0684070343373,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"304",11.1026457808194,2.09088694609427,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"305",11.0995928218335,2.11331651080886,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"306",11.0960788275943,2.13569242044866,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"307",11.0921101369196,2.15801146224644,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"308",11.0876930242217,2.18027051584634,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"309",11.0828337000871,2.20246655056803,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"310",11.0775383118516,2.224596622783,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"311",11.0718129441694,2.24665787339766,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"312",11.0656636195788,2.26864752543793,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"313",11.0590962990622,2.29056288173048,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"314",11.0521168826015,2.31240132267576,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"315",11.0447312097293,2.33416030410852,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"316",11.0369450600747,2.35583735524136,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"317",11.0287641539053,2.37743007668731,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"318",11.0201941526641,2.39893613855773,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"319",11.0112406595017,2.42035327863161,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"320",11.0019092198045,2.44167930059308,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"321",10.9922053217185,2.46291207233365,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"322",10.9821343966678,2.48404952431618,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"323",10.9717018198697,2.50508964799748,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"324",10.960912910845,2.526030494307,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"325",10.9497729339238,2.54687017217867,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"326",10.9382870987475,2.5676068471336,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"327",10.926460560766,2.58823873991112,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"328",10.9142984217313,2.60876412514599,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"329",10.9018057301862,2.62918133008966,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"330",10.8889874819495,2.64948873337346,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"331",10.8758486205967,2.66968476381195,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"332",10.8623940379366,2.68976789924444,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"333",10.8486285744844,2.70973666541315,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"334",10.8345570199297,2.72958963487629,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"335",10.8201841136019,2.74932542595451,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"336",10.8055145449304,2.76894270170923,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"337",10.7905529539016,2.78844016895161,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"338",10.7753039315117,2.80781657728073,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"339",10.7597720202162,2.82707071814964,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"340",10.7439617143744,2.84620142395843,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"341",10.7278774606915,2.86520756717281,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"342",10.711523658656,2.88408805946737,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"343",10.6949046609736,2.90284185089255,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
"344",10.6780247739978,2.92146792906412,"Rec_Preds","SR_HierRicker_SurvCap",0,"Middle_Fraser"
