"Year","CU","Escape","CUinfill","Return","Age3","Age4","Age5","Age6","Recruit"
2000,"1 - Southern Coastal Streams",1424.27511343219,FALSE,1488.33422299513,0.098899426,0.837313443,0.05901642,0.004770711,1946.58939349372
2001,"1 - Southern Coastal Streams",1698.66087777258,FALSE,1727.0500612831,0.283833921,0.686866081,0.029299997,0,1708.9517050767
2002,"1 - Southern Coastal Streams",1860.92117730188,FALSE,1907.58043769192,0.199157059,0.675227201,0.125615739,0,4370.56183281245
2003,"1 - Southern Coastal Streams",625.868621259888,FALSE,649.226229301753,0.103552054,0.849815148,0.045304824,0.001327974,1062.56607845304
2004,"1 - Southern Coastal Streams",2693.75687091595,FALSE,2816.87134694812,0.16331283,0.605765883,0.230921287,0.00295858,227.538601333534
2005,"1 - Southern Coastal Streams",1343.79061025437,FALSE,1409.17373061983,0.130621709,0.733028191,0.122764228,0.013585871,1117.99026976001
2006,"1 - Southern Coastal Streams",5018.01162596178,FALSE,5267.22934389534,0.167,0.792,0.041,0,455.948408633242
2007,"1 - Southern Coastal Streams",148.923527542856,FALSE,150.202282975082,0.04040404,0.863636364,0.095959596,0,5315.24628022606
2008,"1 - Southern Coastal Streams",363.413195443065,FALSE,370.642581535496,0.395008918,0.466461382,0.137358326,0.001171374,1345.96385843317
2009,"1 - Southern Coastal Streams",909.183046269921,FALSE,928.007775977145,0.037342421,0.907822746,0.052348022,0.002486811,4557.04235525242
2010,"1 - Southern Coastal Streams",591.055952003988,FALSE,597.345495851823,0.2275281,0.562395504,0.210076396,0,2089.82878046383
2011,"1 - Southern Coastal Streams",4684.74263441833,FALSE,4851.59067898759,0.017723127,0.963936844,0.017592154,0.000747876,3455.65281846125
2012,"1 - Southern Coastal Streams",1268.20463341449,FALSE,1284.28528338074,0.13688275,0.527160146,0.335957104,0,6072.77717530927
2013,"1 - Southern Coastal Streams",4895.19572511305,FALSE,5037.71001509935,0.072836563,0.798028306,0.114993462,0.014141668,NA
2014,"1 - Southern Coastal Streams",1694.07019571977,FALSE,1725.74304623076,0.081977775,0.709105419,0.20680133,0.002115476,NA
2015,"1 - Southern Coastal Streams",4649.93060618255,FALSE,4830.85785844955,0.263387596,0.637086049,0.098672531,0.000853825,NA
2016,"1 - Southern Coastal Streams",4967.90905743465,FALSE,5060.83098247128,0.050826697,0.902511642,0.046661661,0.004444444,NA
2017,"1 - Southern Coastal Streams",1136.21277712617,FALSE,1162.43113395458,0.230463241,0.569076663,0.200149267,0.000310829,NA
2018,"1 - Southern Coastal Streams",1751.46216688948,FALSE,1775.15785656414,0.304458325,0.648711434,0.04667785,0.000152391,NA
1953,"2 - North East Vancouver Island",120837.360292319,FALSE,0,NA,NA,NA,NA,NA
1954,"2 - North East Vancouver Island",95854.215328737,FALSE,109586.564876157,NA,NA,NA,NA,NA
1955,"2 - North East Vancouver Island",100669.289241356,FALSE,111520.930471256,NA,NA,NA,NA,63106.337840617
1956,"2 - North East Vancouver Island",55950.6471077858,FALSE,64118.371695337,NA,NA,NA,NA,50457.5681571668
1957,"2 - North East Vancouver Island",67662.2312767775,FALSE,72066.0233310135,NA,NA,NA,NA,81541.4228276492
1958,"2 - North East Vancouver Island",82794.1969900563,FALSE,90529.5823142783,0.434782609,0.565217391,0,0,12939.7583187658
1959,"2 - North East Vancouver Island",33018.0100024242,FALSE,35881.8469829976,0.332003384,0.645675951,0.022320665,0,39795.3588114902
1960,"2 - North East Vancouver Island",55615.0804205895,FALSE,61925.5087350017,0.38852246,0.602150137,0.009327403,0,36104.0136241041
1961,"2 - North East Vancouver Island",61013.1942424255,FALSE,65489.6767068379,0.110520263,0.870297783,0.019181954,0,26084.7399595686
1962,"2 - North East Vancouver Island",28329.468325775,FALSE,29386.1001652725,0.793783478,0.18966273,0.016553792,0,49454.1862988838
1963,"2 - North East Vancouver Island",23259.766613714,FALSE,25110.6134804784,0.348690017,0.646197641,0.005112342,0,16128.6122529221
1964,"2 - North East Vancouver Island",33903.1631184384,FALSE,34917.2753023208,0.228833951,0.764214223,0.006951826,0,85990.9152025806
1965,"2 - North East Vancouver Island",27754.5283350518,FALSE,28097.6503282644,0.357271453,0.619099703,0.023628843,0,22569.4691517403
1966,"2 - North East Vancouver Island",46613.0196791137,FALSE,47108.2757640435,0.155156647,0.830000209,0.014843144,0,34349.1685309254
1967,"2 - North East Vancouver Island",22389.5646783501,FALSE,23305.7145510771,0.626558615,0.359890236,0.013551149,0,8042.33332101971
1968,"2 - North East Vancouver Island",81007.1133516616,FALSE,85618.3224727685,0.167854993,0.827099929,0.005045077,0,40395.7353009595
1969,"2 - North East Vancouver Island",14698.3647641934,FALSE,15622.7088556981,0.455814611,0.507468931,0.036716458,0,37925.0154077822
1970,"2 - North East Vancouver Island",26259.5275643053,FALSE,28817.7374741305,0.085277353,0.905354568,0.00936808,0,6859.67376403591
1971,"2 - North East Vancouver Island",10016.0575298187,FALSE,10483.1371644506,0.415203238,0.4762568,0.108539962,0,7107.85762966255
1972,"2 - North East Vancouver Island",29342.7396261411,FALSE,32107.1854128573,0.071381929,0.910174611,0.01844346,0,14997.7575146456
1973,"2 - North East Vancouver Island",35414.5950199125,FALSE,40928.9502060656,0.026375264,0.807845091,0.165779645,0,15599.3594377373
1974,"2 - North East Vancouver Island",9647.14305576954,FALSE,10076.4148807093,0.207801318,0.533806974,0.254940979,0.003450729,23959.1245705009
1975,"2 - North East Vancouver Island",10949.7291135855,FALSE,12084.2251941498,0.563003677,0.403787627,0.033208696,0,7142.45458723603
1976,"2 - North East Vancouver Island",8210.06184271692,FALSE,9294.86780687748,0.148130862,0.837398279,0.014470859,0,17008.419957728
1977,"2 - North East Vancouver Island",18123.1272729684,FALSE,18525.6603062815,0.234392947,0.743433053,0.022174,0,21088.3220174588
1978,"2 - North East Vancouver Island",19928.3783648403,FALSE,21776.77039666,0.142596397,0.836743309,0.020660293,0,57627.8315979178
1979,"2 - North East Vancouver Island",8172.18232975753,FALSE,8321.24748652072,0.363502131,0.468821864,0.167676005,0,21734.4166482499
1980,"2 - North East Vancouver Island",17531.1368984593,FALSE,18519.1666167438,0.282814359,0.709842824,0.007342816,0,24830.6395973382
1981,"2 - North East Vancouver Island",12409.8080131487,FALSE,12498.8087037775,0.138790193,0.794168918,0.067040888,0,82502.6967362184
1982,"2 - North East Vancouver Island",67231.4462710798,FALSE,73474.6251877396,0.194338101,0.725085861,0.080576039,0,120773.543374137
1983,"2 - North East Vancouver Island",9468.8424821893,FALSE,9585.66120571744,0.17545752,0.559505096,0.264580855,0.000456529,43526.7293935261
1984,"2 - North East Vancouver Island",45855.4471240249,FALSE,45985.351398136,0.492194218,0.460534284,0.045498646,0.001772852,108591.760143882
1985,"2 - North East Vancouver Island",81316.8712783482,FALSE,82999.2841010891,0.370820705,0.605432917,0.023746378,0,34095.3700133015
1986,"2 - North East Vancouver Island",102881.575775028,FALSE,108934.810158325,0.112026474,0.799713213,0.088260313,0,134788.221941281
1987,"2 - North East Vancouver Island",18222.7526379601,FALSE,18384.7806788066,0.107184036,0.760114635,0.132491723,0.000209605,55535.2893512419
1988,"2 - North East Vancouver Island",117384.250873048,FALSE,124997.080144785,0.067719023,0.793794816,0.137845503,0.003546099,165836.344236345
1989,"2 - North East Vancouver Island",29084.3599823471,FALSE,30649.6218067259,0.121743489,0.635453626,0.238942462,0.003860422,81748.7923831629
1990,"2 - North East Vancouver Island",93402.8896635348,FALSE,100435.615964284,0.011478832,0.92783509,0.059932613,0.000753466,84312.9057603577
1991,"2 - North East Vancouver Island",88879.1016038376,FALSE,90802.8172363775,0.130959458,0.45693836,0.410616461,0.001485721,51088.5827336192
1992,"2 - North East Vancouver Island",142702.66312466,FALSE,154297.361992957,0.037362136,0.877477468,0.081375433,0.003784963,20925.9762507607
1993,"2 - North East Vancouver Island",66001.834014251,FALSE,70061.931695046,0.044506774,0.699309101,0.251401203,0.004782922,71929.5114087588
1994,"2 - North East Vancouver Island",96587.7957814563,FALSE,103531.139760461,0.097864748,0.64105794,0.252010048,0.009067263,154247.56189355
1995,"2 - North East Vancouver Island",67376.4278023106,FALSE,70475.2690497969,0.202224658,0.575100681,0.209931475,0.012743185,23174.7105536007
1996,"2 - North East Vancouver Island",4311.21095281653,FALSE,4440.07620428513,0.236010961,0.673546814,0.083631793,0.006810432,5434.86022173813
1997,"2 - North East Vancouver Island",75258.8099633508,FALSE,76488.5548311104,0.136149443,0.816562034,0.046408017,0.000716801,79129.096960362
1998,"2 - North East Vancouver Island",165441.006978873,FALSE,173049.457464751,0.12256204,0.828015044,0.048649393,0.000773523,161080.674651902
1999,"2 - North East Vancouver Island",2597.42316913307,FALSE,2631.89440661608,0.125920036,0.670742577,0.201360187,0.0019772,64699.0238691162
2000,"2 - North East Vancouver Island",3098.44259601593,FALSE,3390.4528458689,0.098899426,0.837313443,0.05901642,0.004770711,15530.6897756544
2001,"2 - North East Vancouver Island",76080.1946212498,FALSE,77289.4358182082,0.283833921,0.686866081,0.029299997,0,40642.4987847041
2002,"2 - North East Vancouver Island",199417.397663864,FALSE,204384.714813512,0.199157059,0.675227201,0.125615739,0,46090.906515189
2003,"2 - North East Vancouver Island",23409.0443793008,FALSE,24363.6134956125,0.103552054,0.849815148,0.045304824,0.001327974,22933.8289227889
2004,"2 - North East Vancouver Island",10729.8641149043,FALSE,11290.1796161448,0.16331283,0.605765883,0.230921287,0.00295858,4852.85424276794
2005,"2 - North East Vancouver Island",47672.0645617217,FALSE,50247.3890921957,0.130621709,0.733028191,0.122764228,0.013585871,21335.0519299278
2006,"2 - North East Vancouver Island",45577.2798813256,FALSE,47949.1432111659,0.167,0.792,0.041,0,13660.4437750576
2007,"2 - North East Vancouver Island",15899.6649947099,FALSE,16082.5223192035,0.04040404,0.863636364,0.095959596,0,98740.0667096281
2008,"2 - North East Vancouver Island",7071.49027081799,FALSE,7267.4581502684,0.395008918,0.466461382,0.137358326,0.001171374,15214.1621078683
2009,"2 - North East Vancouver Island",15125.5265635864,FALSE,15531.9487578841,0.037342421,0.907822746,0.052348022,0.002486811,17788.55016396
2010,"2 - North East Vancouver Island",20232.8063227023,FALSE,20454.7098884336,0.2275281,0.562395504,0.210076396,0,8982.04741502144
2011,"2 - North East Vancouver Island",86172.5926101895,FALSE,89631.2258698301,0.017723127,0.963936844,0.017592154,0.000747876,20806.4556145935
2012,"2 - North East Vancouver Island",21959.9952062269,FALSE,22178.924435704,0.13688275,0.527160146,0.335957104,0,75619.467895113
2013,"2 - North East Vancouver Island",16250.0514409,FALSE,16690.9038306103,0.072836563,0.798028306,0.114993462,0.014141668,NA
2014,"2 - North East Vancouver Island",6617.01053925159,FALSE,6819.5761010725,0.081977775,0.709105419,0.20680133,0.002115476,NA
2015,"2 - North East Vancouver Island",25031.4543425636,FALSE,26383.4835824098,0.263387596,0.637086049,0.098672531,0.000853825,NA
2016,"2 - North East Vancouver Island",71397.9685171792,FALSE,73623.5795545024,0.050826697,0.902511642,0.046661661,0.004444444,NA
2017,"2 - North East Vancouver Island",10720.1444529558,FALSE,11112.5867658772,0.230463241,0.569076663,0.200149267,0.000310829,NA
2018,"2 - North East Vancouver Island",462.729213114764,FALSE,471.228096076553,0.304458325,0.648711434,0.04667785,0.000152391,NA
1953,"3 - Upper Knight",17250,FALSE,0,NA,NA,NA,NA,NA
