"","CU_Name","Year","Escape","SumRawEsc","EscAvg","GroupSum","Props","Present","PresentProps","inverse_prop","GroupCount","GroupEsc","ContrEsc","SiteEsc"
"1","1 - Southern Coastal Streams","1953",28328.2155699278,27075,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,684477.987094516,684477.987094516,4936.74247890889,28328.2155699278
"2","1 - Southern Coastal Streams","1954",49646.3094660416,47450,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,836340.712153488,836340.712153488,6032.04018007217,49646.3094660416
"3","1 - Southern Coastal Streams","1955",23600.0914859416,22600,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,443412.813678345,443412.813678345,3198.07928706425,23600.0914859416
"4","1 - Southern Coastal Streams","1956",28482.5074104717,26325,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,384062.74428176,384062.74428176,2770.02168077069,28482.5074104717
"5","1 - Southern Coastal Streams","1957",31056.5025844126,27350,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,848899.801875,848899.801875,6122.62160547023,31056.5025844126
"6","1 - Southern Coastal Streams","1958",50018.5200257678,46025,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,918228.847225489,918228.847225489,6622.65177394474,50018.5200257678
"7","1 - Southern Coastal Streams","1959",8704.21267541062,7575,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,776860.131635461,776860.131635461,5603.04127280277,8704.21267541062
"8","1 - Southern Coastal Streams","1960",9644.45152978832,8275,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,472709.018691882,472709.018691882,3409.37581155157,9644.45152978832
"9","1 - Southern Coastal Streams","1961",14971.2492002938,11150,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,424697.536324068,424697.536324068,3063.09685306135,14971.2492002938
"10","1 - Southern Coastal Streams","1962",9775.60765907576,8375,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,459426.841641979,459426.841641979,3313.57917690306,9775.60765907576
"11","1 - Southern Coastal Streams","1963",15158.2475465188,8700,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,446352.79967946,446352.79967946,3219.28369984706,15158.2475465188
"12","1 - Southern Coastal Streams","1964",7295.22959632519,6250,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,518642.947392619,518642.947392619,3740.67058116523,7295.22959632519
"13","1 - Southern Coastal Streams","1965",2063.80679880582,1725,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,219029.175574292,219029.175574292,1579.73032817006,2063.80679880582
"14","1 - Southern Coastal Streams","1966",16043.4781993717,14025,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,575151.043559676,575151.043559676,4148.23068391498,16043.4781993717
"15","1 - Southern Coastal Streams","1967",18198.2711467968,14750,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,474661.820740503,474661.820740503,3423.46023940476,18198.2711467968
"16","1 - Southern Coastal Streams","1968",10714.6035229772,9100,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,1060671.56000171,1060671.56000171,7650.00839348824,10714.6035229772
"17","1 - Southern Coastal Streams","1969",16136.7483503541,13000,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,660305.597573245,660305.597573245,4762.40106192201,16136.7483503541
"18","1 - Southern Coastal Streams","1970",19670.5505836977,16275,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,886112.196122204,886112.196122204,6391.01300867939,19670.5505836977
"19","1 - Southern Coastal Streams","1971",10191.9393823984,6525,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,401814.753926276,401814.753926276,2898.05662382282,10191.9393823984
"20","1 - Southern Coastal Streams","1972",18655.4129775234,15775,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,1422930.13577149,1422930.13577149,10262.769260997,18655.4129775234
"21","1 - Southern Coastal Streams","1973",47327.7932113415,41125,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,1272726.29290556,1272726.29290556,9179.43611434727,47327.7932113415
"22","1 - Southern Coastal Streams","1974",26077.5497980194,22731,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,843691.440778131,843691.440778131,6085.05671959048,26077.5497980194
"23","1 - Southern Coastal Streams","1975",14254.0102907093,12025,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,494659.487909846,494659.487909846,3567.69180689905,14254.0102907093
"24","1 - Southern Coastal Streams","1976",19905.4613652631,16650,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,552338.915913709,552338.915913709,3983.70004639634,19905.4613652631
"25","1 - Southern Coastal Streams","1977",48231.6962111768,40350,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,903752.287982923,903752.287982923,6518.24075370933,48231.6962111768
"26","1 - Southern Coastal Streams","1978",41251.7967241875,34215,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1,1122072.69655225,1122072.69655225,8092.85915681091,41251.7967241875
"27","1 - Southern Coastal Streams","1979",5493.1630215539,3225,5626.42356099452,780102.079463108,0.00721241964239707,1,0.00721241964239707,1.00443199840286,490534.940809671,492708.990883885,3553.62400383657,5493.1630215539
