"","V1"
"model","Percentile"
"pBoxTidwell","0.02"
"maxDevResid","1.69"
"AR1.dev","0.14"
"minSampSize","37"
"sampSize","63"
"p_WaldB0","0.006"
"p_WaldB1","0.191"
"quasiR2","0.03"
"pGoodnessOfFit","0.13"
"hitRatio","0.7"
