"","Year","CU","Escape"
"150",1970,"UK",11119.3549385062
"151",1971,"UK",1111.93549385062
"152",1972,"UK",39804.7865783938
"153",1973,"UK",34237.6835604366
"154",1974,"UK",9185.71997962933
"155",1975,"UK",7775
"156",1976,"UK",20600
"157",1977,"UK",1180
"158",1978,"UK",8895.48395080496
"159",1979,"UK",1778.50375865395
"160",1980,"UK",5301.08937035971
"161",1981,"UK",444.774197540248
"162",1982,"UK",5224.16600285258
"163",1983,"UK",1037.80646092725
"164",1984,"UK",4800.20062718879
"165",1985,"UK",15.4566200998445
"166",1986,"UK",5890.04414542999
"167",1987,"UK",3435.85908483416
"168",1988,"UK",2945.022072715
"169",1989,"UK",1977.02338984835
"170",1990,"UK",2699.60356665541
"171",1991,"UK",4236.88131794015
"172",1992,"UK",148.258065846749
"173",1993,"UK",1114.90065516755
"174",1994,"UK",148.258065846749
"175",1995,"UK",237.212905354799
"176",1996,"UK",2915.39625732068
"177",1997,"UK",2223.87098770124
"178",1998,"UK",14148.2672237553
"179",1999,"UK",131.949678603607
"180",2000,"UK",3716.82971077801
"181",2001,"UK",515.938069146688
"182",2002,"UK",3706.45164616873
"183",2003,"UK",7578.95232608583
"184",2004,"UK",11412.7007739917
"185",2005,"UK",4865.4956671173
"186",2006,"UK",3078.2733568267
"187",2007,"UK",6877.67211192449
"188",2008,"UK",5337.46241805296
"189",2009,"UK",7028.60519693206
"190",2010,"UK",3156.63631887592
"191",2011,"UK",5461.80177898725
"192",2012,"UK",10399.0438661894
"193",2013,"UK",10526.7055630065
"194",2014,"UK",4946.50965937892
"195",2015,"UK",5252.61647189466
"196",2016,"UK",14295.3487118779
"197",2017,"UK",5056.87364693384
"198",2018,"UK",3939.16484488177
"199",1953,"LB",26635.362716456
"200",1954,"LB",33399.9725751493
"201",1955,"LB",10664.2965610232
"202",1956,"LB",14990.6966860194
"203",1957,"LB",56670.6990505417
"204",1958,"LB",38411.5130751832
"205",1959,"LB",23961.3105578261
"206",1960,"LB",8602.43167949806
"207",1961,"LB",24633.2287664013
"208",1962,"LB",20694.7609473185
"209",1963,"LB",64272.1070612348
"210",1964,"LB",114507.747667995
"211",1965,"LB",5522.15534781111
"212",1966,"LB",32380.9841239598
"213",1967,"LB",68290.1724085368
"214",1968,"LB",92450.3978143713
"215",1969,"LB",24100.1202822421
"216",1970,"LB",157625.305873248
"217",1971,"LB",20067.1376972885
"218",1972,"LB",83725.2774402921
"219",1973,"LB",132054.837474505
"220",1974,"LB",32498.6022432919
"221",1975,"LB",21104.7774042011
"222",1976,"LB",16620.8709920912
"223",1977,"LB",34891.215903238
"224",1978,"LB",20789.5360467419
"225",1979,"LB",13263.2628907687
"226",1980,"LB",17349.8717201202
"227",1981,"LB",22924.7076180067
"228",1982,"LB",50682.9017958
"229",1983,"LB",17121.0509026399
"230",1984,"LB",22871.1371946005
"231",1985,"LB",50848.857821773
"232",1986,"LB",40583.5475641957
"233",1987,"LB",19398.3163104617
"234",1988,"LB",92298.0703414284
"235",1989,"LB",12645.9619158028
"236",1990,"LB",106964.620948002
"237",1991,"LB",15746.0223977288
"238",1992,"LB",38975.4398625167
"239",1993,"LB",23772.7501455617
"240",1994,"LB",17782.4387421578
"241",1995,"LB",28622.269720242
"242",1996,"LB",15575.5816637416
"243",1997,"LB",8272.6117602733
"244",1998,"LB",46359.3629991801
"245",1999,"LB",7810.97116316691
"246",2000,"LB",4850.01222913862
"247",2001,"LB",49620.8886840128
"248",2002,"LB",48422.8800077455
"249",2003,"LB",14762.8824675049
"250",2004,"LB",17933.1108727059
"251",2005,"LB",18252.0698238902
"252",2006,"LB",11632.0065131524
"253",2007,"LB",27377.7282371027
"254",2008,"LB",23013.3728346626
"255",2009,"LB",40119.1852974993
"256",2010,"LB",3758.28281818177
"257",2011,"LB",71095.618246015
"258",2012,"LB",34445.3045225055
"259",2013,"LB",18440.776766307
"260",2014,"LB",10476.2420664529
"261",2015,"LB",16801.6399360779
"262",2016,"LB",19472.2332339919
"263",2017,"LB",9463.72202527991
"264",2018,"LB",9569.59337174047
"265",1953,"BI",25500
"266",1954,"BI",18000
"267",1955,"BI",7950
"268",1956,"BI",4850
"269",1957,"BI",89500
"270",1958,"BI",20750
"271",1959,"BI",16150
"272",1960,"BI",5600
"273",1961,"BI",8150
"274",1962,"BI",8500
"275",1963,"BI",8150
"276",1964,"BI",23446.1842477849
"277",1965,"BI",2662.01218533802
"278",1966,"BI",12150
"279",1967,"BI",11275
"280",1968,"BI",19146.0107176235
"281",1969,"BI",7998.94149773577
"282",1970,"BI",11225
"283",1971,"BI",5194.11785567258
"284",1972,"BI",155823.535670177
"285",1973,"BI",44150.0017732169
"286",1974,"BI",43718.4308899744
"287",1975,"BI",7271.76499794161
"288",1976,"BI",15582.3535670177
"289",1977,"BI",88300.0035464338
"290",1978,"BI",176600.007092868
"291",1979,"BI",36358.824989708
"292",1980,"BI",148483.968145633
"293",1981,"BI",131151.475855733
"294",1982,"BI",207764.714226903
"295",1983,"BI",85517.1414539839
"296",1984,"BI",109076.474969124
"297",1985,"BI",79470.0031917904
"298",1986,"BI",274392.025257919
"299",1987,"BI",82586.473905194
"300",1988,"BI",112712.357468095
"301",1989,"BI",22854.1185649593
"302",1990,"BI",12465.8828536142
"303",1991,"BI",44934.1556099485
"304",1992,"BI",197376.478515558
"305",1993,"BI",200492.949228961
"306",1994,"BI",106479.416041288
"307",1995,"BI",59212.9435546674
"308",1996,"BI",24572.420172351
"309",1997,"BI",27797.550319972
"310",1998,"BI",20686.2217012129
"311",1999,"BI",10392.0860312234
"312",2000,"BI",10343.1108506064
"313",2001,"BI",51715.5542530322
