"","CU_Name","Year","GroupEsc","SumRawEsc"
"92","2 - North East Vancouver Island","1978",19928.3783648403,17250
"93","2 - North East Vancouver Island","1979",8172.18232975753,6700
"94","2 - North East Vancouver Island","1980",17531.1368984593,14525
"95","2 - North East Vancouver Island","1981",12409.8080131487,10000
"96","2 - North East Vancouver Island","1982",67231.4462710798,55120
"97","2 - North East Vancouver Island","1983",9468.8424821893,7950
"98","2 - North East Vancouver Island","1984",45855.4471240249,38375
"99","2 - North East Vancouver Island","1985",81316.8712783482,71040
"100","2 - North East Vancouver Island","1986",102881.575775028,91737
"101","2 - North East Vancouver Island","1987",18222.7526379601,15865
"102","2 - North East Vancouver Island","1988",117384.250873048,101810
"103","2 - North East Vancouver Island","1989",29084.3599823471,24592
"104","2 - North East Vancouver Island","1990",93402.8896635348,80290
"105","2 - North East Vancouver Island","1991",88879.1016038376,75450
"106","2 - North East Vancouver Island","1992",142702.66312466,120375
"107","2 - North East Vancouver Island","1993",66001.834014251,55675
"108","2 - North East Vancouver Island","1994",96587.7957814563,84150
"109","2 - North East Vancouver Island","1995",67376.4278023106,60945
"110","2 - North East Vancouver Island","1996",4311.21095281653,3685
"111","2 - North East Vancouver Island","1997",75258.8099633508,72530
"112","2 - North East Vancouver Island","1998",165441.006978873,148080
"113","2 - North East Vancouver Island","1999",2597.42316913307,2170
"114","2 - North East Vancouver Island","2000",3098.44259601593,2580
"115","2 - North East Vancouver Island","2001",76080.1946212498,65855
"116","2 - North East Vancouver Island","2002",199417.397663864,176309
"117","2 - North East Vancouver Island","2003",23409.0443793008,1357
"118","2 - North East Vancouver Island","2004",10729.8641149043,622
"119","2 - North East Vancouver Island","2005",47672.0645617217,41762
"120","2 - North East Vancouver Island","2006",45577.2798813256,39000
"121","2 - North East Vancouver Island","2007",15899.6649947099,793
"122","2 - North East Vancouver Island","2008",7071.49027081799,6051
"123","2 - North East Vancouver Island","2009",15125.5265635864,1062
"124","2 - North East Vancouver Island","2010",20232.8063227023,17313
"125","2 - North East Vancouver Island","2011",86172.5926101895,3088
"126","2 - North East Vancouver Island","2012",21959.9952062269,1273
"127","2 - North East Vancouver Island","2013",16250.0514409,942
"128","2 - North East Vancouver Island","2014",6617.01053925159,152
"129","2 - North East Vancouver Island","2015",25031.4543425636,575
"130","2 - North East Vancouver Island","2016",71397.9685171792,1197
