"CU_Name","Year","Escape","SumRawEsc","EscAvg","GroupSum","Props","Present","PresentProps","inverse_prop","GroupCount","GroupEsc","ContrEsc","SiteEsc"
"1 - Southern Coastal Streams","1953",104081.952514981,102075,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,655239.293121711,655239.293121711,18221.7588036612,104081.952514981
"1 - Southern Coastal Streams","1954",124857.556556056,122450,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,815290.416454465,815290.416454465,22672.6716171007,124857.556556056
"1 - Southern Coastal Streams","1955",58683.9277127551,57600,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,373422.839837656,373422.839837656,10384.63503445,58683.9277127551
"1 - Southern Coastal Streams","1956",63455.6619764978,61325,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,355884.871798192,355884.871798192,9896.91607913689,63455.6619764978
"1 - Southern Coastal Streams","1957",108030.27510905,102350,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,825407.213109553,825407.213109553,22954.0128468619,108030.27510905
"1 - Southern Coastal Streams","1958",125461.427583636,121025,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,895734.728911328,895734.728911328,24909.7731983135,125461.427583636
"1 - Southern Coastal Streams","1959",23975.3848197415,22575,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,650525.772961875,650525.772961875,18090.6790159099,23975.3848197415
"1 - Southern Coastal Streams","1960",16849.2019697984,15775,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,333084.375514476,333084.375514476,9262.84979488481,16849.2019697984
"1 - Southern Coastal Streams","1961",51959.6871060146,46150,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,398159.170081716,398159.170081716,11072.5355436633,51959.6871060146
"1 - Southern Coastal Streams","1962",89216.117601596,83375,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,434749.132555629,434749.132555629,12090.0774979288,89216.117601596
"1 - Southern Coastal Streams","1963",53865.8959024107,43700,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,338928.838779634,338928.838779634,9425.38034070599,53865.8959024107
"1 - Southern Coastal Streams","1964",44139.9082586607,41250,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,450639.505883077,450639.505883077,12531.977965609,44139.9082586607
"1 - Southern Coastal Streams","1965",2938.9305615511,2725,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,184985.112069886,184985.112069886,5144.31007082412,2938.9305615511
"1 - Southern Coastal Streams","1966",15270.9930911104,14425,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,452358.460716835,452358.460716835,12579.7809296619,15270.9930911104
"1 - Southern Coastal Streams","1967",54448.2563031631,49750,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,408791.323897436,408791.323897436,11368.2085053235,54448.2563031631
"1 - Southern Coastal Streams","1968",44668.9340090435,41600,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,810143.817710594,810143.817710594,22529.5482086689,44668.9340090435
"1 - Southern Coastal Streams","1969",69059.9114898281,63000,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,510592.222416195,510592.222416195,14199.2222102056,69059.9114898281
"1 - Southern Coastal Streams","1970",50240.9540712759,46275,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,649984.555677688,649984.555677688,18075.6281315744,50240.9540712759
"1 - Southern Coastal Streams","1971",16719.924811058,14025,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,251840.37101443,251840.37101443,7003.50932219977,16719.924811058
"1 - Southern Coastal Streams","1972",57153.3863406969,53275,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,1277014.1400009,1277014.1400009,35512.8941323105,57153.3863406969
"1 - Southern Coastal Streams","1973",107315.586471133,101125,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,1038407.11020033,1038407.11020033,28877.3950230158,107315.586471133
"1 - Southern Coastal Streams","1974",66487.2695115891,62731,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,680164.562527367,680164.562527367,18914.9135823716,66487.2695115891
"1 - Southern Coastal Streams","1975",19406.391505402,18025,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,326755.744120901,326755.744120901,9086.854862924,19406.391505402
"1 - Southern Coastal Streams","1976",77456.8076455176,71650,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,459900.845142425,459900.845142425,12789.5295073957,77456.8076455176
"1 - Southern Coastal Streams","1977",53347.0418441215,49350,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,729826.911132804,729826.911132804,20295.9896982442,53347.0418441215
"1 - Southern Coastal Streams","1978",45821.684930127,42215,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,856880.608806499,856880.608806499,23829.2665612563,45821.684930127
"1 - Southern Coastal Streams","1979",30881.7365291453,25225,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1.00598931721584,326173.385685051,328126.941559285,9124.98693048573,30881.7365291453
"1 - Southern Coastal Streams","1980",21018.249510893,19675,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1.00598931721584,912141.414798879,917604.519077819,25517.9571788589,21018.249510893
"1 - Southern Coastal Streams","1981",22015.0542583159,20360,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,730067.595423742,730067.595423742,20302.682964572,22015.0542583159
"1 - Southern Coastal Streams","1982",68413.299267699,64120,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1.00598931721584,932016.981394343,937599.126746468,26073.9936103375,68413.299267699
"1 - Southern Coastal Streams","1983",36118.1396023007,33532,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,614474.592923703,614474.592923703,17088.1202345016,36118.1396023007
"1 - Southern Coastal Streams","1984",56848.4868528821,52338,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1.00598931721584,852547.267093903,857653.44311803,23850.75855749,56848.4868528821
"1 - Southern Coastal Streams","1985",54349.9370551745,51195,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,1296528.26312302,1296528.26312302,36055.5686155549,54349.9370551745
"1 - Southern Coastal Streams","1986",25860.7973792116,24115,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,1027699.0096573,1027699.0096573,28579.6100345562,25860.7973792116
"1 - Southern Coastal Streams","1987",35602.6621534011,33593,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,744161.785104809,744161.785104809,20694.63278748,35602.6621534011
"1 - Southern Coastal Streams","1988",44404.8172246054,41100,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1,946232.935886452,946232.935886452,26314.0939665846,44404.8172246054
"1 - Southern Coastal Streams","1989",4208.12940976519,3850,16078.180691523,578158.006837402,0.0278093194271799,1,0.0278093194271799,1.00598931721584,334904.947208261,336910.799174247,9369.26003270309,4208.12940976519
