"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,291.576752391926,NA,NA,"Percentile","BernLogistic",FALSE,FALSE
"2",1968,615194.015956451,-52104.348496532,1282492.38040943,"Percentile","BernLogistic",FALSE,FALSE
"3",1969,1017754.75910554,-2242260.2767712,4277769.79498228,"Percentile","BernLogistic",FALSE,FALSE
"4",1970,594868.203774546,313673.706427412,876062.701121679,"Percentile","BernLogistic",FALSE,FALSE
"5",1971,638489.162100777,267399.705053742,1009578.61914781,"Percentile","BernLogistic",FALSE,FALSE
"6",1972,577667.07473181,384151.712738589,771182.436725031,"Percentile","BernLogistic",FALSE,FALSE
"7",1973,564253.310077333,420359.216285933,708147.403868733,"Percentile","BernLogistic",FALSE,FALSE
"8",1974,681495.00399879,382820.687022759,980169.320974822,"Percentile","BernLogistic",FALSE,FALSE
"9",1975,851458.269500074,213468.276870124,1489448.26213002,"Percentile","BernLogistic",FALSE,FALSE
"10",1976,1303699.41688746,-1531484.04221099,4138882.8759859,"Percentile","BernLogistic",FALSE,FALSE
"11",1977,1245944.47352259,-1354906.38193271,3846795.32897789,"Percentile","BernLogistic",FALSE,FALSE
"12",1978,1144671.09694231,-953608.792977622,3242950.98686225,"Percentile","BernLogistic",FALSE,FALSE
"13",1979,1170357.51067505,-1011412.69671185,3352127.71806196,"Percentile","BernLogistic",FALSE,FALSE
"14",1980,3357496.03633652,-31636943.1149005,38351935.1875736,"Percentile","BernLogistic",FALSE,FALSE
"15",1981,3461470.51714192,-35273253.2597884,42196194.2940722,"Percentile","BernLogistic",FALSE,FALSE
"16",1982,1820463.83411525,-6505616.77816674,10146544.4463972,"Percentile","BernLogistic",FALSE,FALSE
"17",1983,1007989.22370105,-108012.438749586,2123990.88615168,"Percentile","BernLogistic",FALSE,FALSE
"18",1984,879482.369945089,228620.318479917,1530344.42141026,"Percentile","BernLogistic",FALSE,FALSE
"19",1985,807799.006393186,394824.856435943,1220773.15635043,"Percentile","BernLogistic",FALSE,FALSE
"20",1986,1226808.7765023,-560350.817122972,3013968.37012757,"Percentile","BernLogistic",FALSE,FALSE
"21",1987,2021024.64485706,-4177430.92930839,8219480.21902252,"Percentile","BernLogistic",FALSE,FALSE
"22",1988,1343138.35748079,-465689.978875319,3151966.69383689,"Percentile","BernLogistic",FALSE,FALSE
"23",1989,1433827.0634401,-712910.278682555,3580564.40556276,"Percentile","BernLogistic",FALSE,FALSE
"24",1990,1548808.18303114,-1078418.59732379,4176034.96338607,"Percentile","BernLogistic",FALSE,FALSE
"25",1991,1278729.38051587,-81158.5780773463,2638617.33910908,"Percentile","BernLogistic",FALSE,FALSE
"26",1992,1353140.29707502,-239063.64800212,2945344.24215216,"Percentile","BernLogistic",FALSE,FALSE
"27",1993,1687805.36260884,-1176344.21304021,4551954.93825789,"Percentile","BernLogistic",FALSE,FALSE
"28",1994,2237438.4192468,-3528969.36913555,8003846.20762915,"Percentile","BernLogistic",FALSE,FALSE
"29",1995,2015764.57578648,-2118209.5446571,6149738.69623006,"Percentile","BernLogistic",FALSE,FALSE
"30",1996,3018856.31261841,-8694624.98615799,14732337.6113948,"Percentile","BernLogistic",FALSE,FALSE
"31",1997,1557180.74839291,-499726.915235774,3614088.41202159,"Percentile","BernLogistic",FALSE,FALSE
"32",1998,1509136.67732299,-397786.583928448,3416059.93857442,"Percentile","BernLogistic",FALSE,FALSE
"33",1999,1510636.33472417,-385550.930838688,3406823.60028703,"Percentile","BernLogistic",FALSE,FALSE
"34",2000,1152528.61097146,333017.731129637,1972039.49081329,"Percentile","BernLogistic",FALSE,FALSE
"35",2001,999010.145681329,517690.788659516,1480329.50270314,"Percentile","BernLogistic",FALSE,FALSE
"36",2002,1060536.02336781,475781.325512438,1645290.72122318,"Percentile","BernLogistic",FALSE,FALSE
"37",2003,1334091.73108815,209444.315424867,2458739.14675144,"Percentile","BernLogistic",FALSE,FALSE
"38",2004,3070037.48533421,-5777828.55730959,11917903.527978,"Percentile","BernLogistic",FALSE,FALSE
"39",2005,4519761.02621264,-15452415.0163583,24491937.0687836,"Percentile","BernLogistic",FALSE,FALSE
"40",2006,8407258.85820405,-66869562.0167384,83684079.7331465,"Percentile","BernLogistic",FALSE,FALSE
"41",2007,40312091.0067971,-1833260067.97409,1913884249.98768,"Percentile","BernLogistic",FALSE,FALSE
"42",2008,-46552282.100794,-2647905115.685,2554800551.48341,"Percentile","BernLogistic",FALSE,FALSE
"43",2009,-64628372.8023752,-5072275136.02328,4943018390.41853,"Percentile","BernLogistic",FALSE,FALSE
"44",2010,-12111622.6117508,-198674044.419156,174450799.195655,"Percentile","BernLogistic",FALSE,FALSE
