"year","scenario","Amber","Green","None","Red","lrp_status","num_CU","scenario_name"
1960,"1",2,2,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1961,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1962,"1",0,1,0,3,"below",4,"1. Prop: Scanner: 4CUs full"
1963,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1964,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1965,"1",0,1,0,3,"below",4,"1. Prop: Scanner: 4CUs full"
1966,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1967,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1968,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1969,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1970,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1971,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1972,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1973,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1974,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1975,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1976,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1977,"1",3,0,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1978,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1979,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1980,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1981,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1982,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1983,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1984,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1985,"1",0,4,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1986,"1",1,3,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1987,"1",0,4,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1988,"1",0,4,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1989,"1",2,2,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1990,"1",2,2,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1991,"1",2,2,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1992,"1",2,2,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1993,"1",1,3,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1994,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1995,"1",1,3,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
1996,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1997,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1998,"1",2,1,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
1999,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2000,"1",2,0,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2001,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2002,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2003,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
2004,"1",0,4,0,0,"above",4,"1. Prop: Scanner: 4CUs full"
2005,"1",0,3,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
2006,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2007,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2008,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2009,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
2010,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2011,"1",1,1,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2012,"1",1,2,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
2013,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2014,"1",0,3,0,1,"below",4,"1. Prop: Scanner: 4CUs full"
2015,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2016,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2017,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
2018,"1",0,2,0,2,"below",4,"1. Prop: Scanner: 4CUs full"
1960,"3",2,3,0,0,"above",5,"3. Prop: Scanner: 5CUs partial"
1961,"3",2,2,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1962,"3",0,2,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
1963,"3",1,2,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1964,"3",0,3,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1965,"3",1,1,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
1966,"3",2,1,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1967,"3",1,1,0,3,"below",5,"3. Prop: Scanner: 5CUs partial"
1968,"3",1,2,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1969,"3",1,2,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1970,"3",2,1,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1971,"3",2,1,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1972,"3",2,1,0,2,"below",5,"3. Prop: Scanner: 5CUs partial"
1973,"3",1,3,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1974,"3",1,3,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1975,"3",1,3,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
1976,"3",2,2,0,1,"below",5,"3. Prop: Scanner: 5CUs partial"
