CU_Name,Area
1 - Southern Coastal Streams,12
2 - North East Vancouver Island,12
2 - North East Vancouver Island,13
3 - Upper Knight,12
4 - Loughborough,12
4 - Loughborough,13
5 - Bute Inlet,13
6 - Georgia Strait,13
6 - Georgia Strait,14
6 - Georgia Strait,15
6 - Georgia Strait,16
6 - Georgia Strait,17
6 - Georgia Strait,18
6 - Georgia Strait,19
6 - Georgia Strait,29
7 - Howe Sound-Burrard Inlet,16
7 - Howe Sound-Burrard Inlet,28
