"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",2015,22054.4931831742,19272.1130556673,24836.8733106811,"SR_IndivRicker_Surv","BernLogistic",FALSE,TRUE
"2",2016,22054.505969105,19272.1293624019,24836.8825758082,"SR_IndivRicker_Surv","BernLogistic",FALSE,TRUE
"3",2017,21952.8603702213,19353.8896865921,24551.8310538505,"SR_IndivRicker_Surv","BernLogistic",FALSE,TRUE
"4",2018,21952.8192619073,19354.2318985921,24551.4066252225,"SR_IndivRicker_Surv","BernLogistic",FALSE,TRUE
