"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,-293356.770729859,-4245855.17194589,3659141.63048617,"Percentile","BernLogistic",FALSE,FALSE
"2",1968,1113946.22574351,-3585394.59533635,5813287.04682337,"Percentile","BernLogistic",FALSE,FALSE
"3",1969,-2494862.93689873,-50988291.7374489,45998565.8636514,"Percentile","BernLogistic",FALSE,FALSE
"4",1970,-561334.930975513,-4804606.00089747,3681936.13894645,"Percentile","BernLogistic",FALSE,FALSE
"5",1971,16639493.5774982,-1296039526.92363,1329318514.07862,"Percentile","BernLogistic",FALSE,FALSE
"6",1972,856398.096369482,-104268.744939657,1817064.93767862,"Percentile","BernLogistic",FALSE,FALSE
"7",1973,831483.669807546,170833.039236695,1492134.3003784,"Percentile","BernLogistic",FALSE,FALSE
"8",1974,879043.273965386,196072.020983332,1562014.52694744,"Percentile","BernLogistic",FALSE,FALSE
"9",1975,1149453.36433354,-266595.682118995,2565502.41078608,"Percentile","BernLogistic",FALSE,FALSE
"10",1976,1166321.54334422,-316686.844502704,2649329.93119114,"Percentile","BernLogistic",FALSE,FALSE
"11",1977,1146639.25881654,-263048.434344481,2556326.95197757,"Percentile","BernLogistic",FALSE,FALSE
"12",1978,1135026.33666852,-235189.948677,2505242.62201404,"Percentile","BernLogistic",FALSE,FALSE
"13",1979,1116243.06120676,-186107.205557166,2418593.32797068,"Percentile","BernLogistic",FALSE,FALSE
"14",1980,1009014.70370068,91630.5544187191,1926398.85298263,"Percentile","BernLogistic",FALSE,FALSE
"15",1981,1054213.40293743,5276.19130918919,2103150.61456568,"Percentile","BernLogistic",FALSE,FALSE
"16",1982,947281.599586944,226145.978253503,1668417.22092039,"Percentile","BernLogistic",FALSE,FALSE
"17",1983,1120084.1696842,-29484.1493203912,2269652.48868878,"Percentile","BernLogistic",FALSE,FALSE
"18",1984,1294830.75658849,-400206.168982079,2989867.68215906,"Percentile","BernLogistic",FALSE,FALSE
"19",1985,1046671.40764935,302309.701166282,1791033.11413241,"Percentile","BernLogistic",FALSE,FALSE
"20",1986,941620.109733952,491444.014323288,1391796.20514462,"Percentile","BernLogistic",FALSE,FALSE
"21",1987,1172435.78765278,355161.518234758,1989710.0570708,"Percentile","BernLogistic",FALSE,FALSE
"22",1988,1066139.6092608,532821.490426993,1599457.72809461,"Percentile","BernLogistic",FALSE,FALSE
"23",1989,1082066.04933723,527661.501891688,1636470.59678276,"Percentile","BernLogistic",FALSE,FALSE
"24",1990,1043092.46311978,549029.136552109,1537155.78968746,"Percentile","BernLogistic",FALSE,FALSE
"25",1991,1067165.70313351,541252.657642261,1593078.74862476,"Percentile","BernLogistic",FALSE,FALSE
"26",1992,1023825.03540558,566806.740448259,1480843.33036291,"Percentile","BernLogistic",FALSE,FALSE
"27",1993,1170287.6452526,511516.589409049,1829058.70109616,"Percentile","BernLogistic",FALSE,FALSE
"28",1994,1337362.71663306,400071.560703206,2274653.87256292,"Percentile","BernLogistic",FALSE,FALSE
"29",1995,1184288.64658542,568861.284439642,1799716.00873119,"Percentile","BernLogistic",FALSE,FALSE
"30",1996,1259082.9144137,503067.907901725,2015097.92092567,"Percentile","BernLogistic",FALSE,FALSE
"31",1997,1199105.99552439,561967.089267951,1836244.90178082,"Percentile","BernLogistic",FALSE,FALSE
"32",1998,1192457.37163021,563388.792668818,1821525.9505916,"Percentile","BernLogistic",FALSE,FALSE
"33",1999,1189364.39494596,567087.940048479,1811640.84984345,"Percentile","BernLogistic",FALSE,FALSE
"34",2000,1247717.32304351,514813.650141583,1980620.99594544,"Percentile","BernLogistic",FALSE,FALSE
"35",2001,1144600.25586596,599475.347566143,1689725.16416578,"Percentile","BernLogistic",FALSE,FALSE
"36",2002,1091957.72066481,637956.527630173,1545958.91369944,"Percentile","BernLogistic",FALSE,FALSE
"37",2003,1364876.43277401,527423.977042895,2202328.88850512,"Percentile","BernLogistic",FALSE,FALSE
"38",2004,2827434.7446679,-1813870.44178688,7468739.93112268,"Percentile","BernLogistic",FALSE,FALSE
"39",2005,3969434.11292219,-5002316.39585702,12941184.6217014,"Percentile","BernLogistic",FALSE,FALSE
"40",2006,3752247.73255501,-3907475.6912442,11411971.1563542,"Percentile","BernLogistic",FALSE,FALSE
"41",2007,6504650.84698767,-18969784.3170615,31979086.0110368,"Percentile","BernLogistic",FALSE,FALSE
"42",2008,6519548.21995351,-19497952.5052845,32537048.9451915,"Percentile","BernLogistic",FALSE,FALSE
"43",2009,20251404.4456712,-258747597.153523,299250406.044865,"Percentile","BernLogistic",FALSE,FALSE
"44",2010,11293282.7367474,-70750852.8817761,93337418.3552708,"Percentile","BernLogistic",FALSE,FALSE
"45",2011,23552468.9159739,-347579673.719724,394684611.551672,"Percentile","BernLogistic",FALSE,FALSE
"46",2012,527986147.005926,-191557112549.657,192613084843.669,"Percentile","BernLogistic",FALSE,FALSE
"47",2013,-20733175.1479527,-326181809.424181,284715459.128276,"Percentile","BernLogistic",FALSE,FALSE
"48",2014,-23388658.3794927,-393611392.359039,346834075.600053,"Percentile","BernLogistic",FALSE,FALSE
"49",2015,-10406055.9155358,-85728680.191667,64916568.3605955,"Percentile","BernLogistic",FALSE,FALSE
"50",2016,-6609061.2919585,-37668916.4976297,24450793.9137127,"Percentile","BernLogistic",FALSE,FALSE
"51",2017,-5315211.67299446,-25946264.3612226,15315841.0152337,"Percentile","BernLogistic",FALSE,FALSE
"52",2018,-4553115.44291163,-20082217.6976584,10975986.8118352,"Percentile","BernLogistic",FALSE,FALSE
