"","Species","CU_Name","ReturnYear","MU_Name","CU_ID","Wild_Escapement"
"1","Coho","Fraser_Canyon",1998,"IF Coho",2,5460
"2","Coho","Fraser_Canyon",1999,"IF Coho",2,4096
"3","Coho","Fraser_Canyon",2000,"IF Coho",2,2719
"4","Coho","Fraser_Canyon",2001,"IF Coho",2,5971
"5","Coho","Fraser_Canyon",2002,"IF Coho",2,3817
"6","Coho","Fraser_Canyon",2003,"IF Coho",2,4552
"7","Coho","Fraser_Canyon",2004,"IF Coho",2,5872
"8","Coho","Fraser_Canyon",2005,"IF Coho",2,2269
"9","Coho","Fraser_Canyon",2006,"IF Coho",2,1605
"10","Coho","Fraser_Canyon",2007,"IF Coho",2,2739
"11","Coho","Fraser_Canyon",2008,"IF Coho",2,1138
"12","Coho","Fraser_Canyon",2009,"IF Coho",2,2308
"13","Coho","Fraser_Canyon",2010,"IF Coho",2,2227
"14","Coho","Fraser_Canyon",2011,"IF Coho",2,3189
"15","Coho","Fraser_Canyon",2012,"IF Coho",2,5134
"16","Coho","Fraser_Canyon",2013,"IF Coho",2,5398
"17","Coho","Fraser_Canyon",2014,"IF Coho",2,1048
"18","Coho","Fraser_Canyon",2015,"IF Coho",2,352
"19","Coho","Fraser_Canyon",2016,"IF Coho",2,1160
"20","Coho","Fraser_Canyon",2017,"IF Coho",2,1657
"21","Coho","Fraser_Canyon",2018,"IF Coho",2,4916
"22","Coho","Fraser_Canyon",2019,"IF Coho",2,3259
"23","Coho","Lower_Thompson",1998,"IF Coho",3,466
"24","Coho","Lower_Thompson",1999,"IF Coho",3,1298
"25","Coho","Lower_Thompson",2000,"IF Coho",3,2543
"26","Coho","Lower_Thompson",2001,"IF Coho",3,4825
"27","Coho","Lower_Thompson",2002,"IF Coho",3,4280
"28","Coho","Lower_Thompson",2003,"IF Coho",3,1866
"29","Coho","Lower_Thompson",2004,"IF Coho",3,2195
"30","Coho","Lower_Thompson",2005,"IF Coho",3,1756
"31","Coho","Lower_Thompson",2006,"IF Coho",3,1069
"32","Coho","Lower_Thompson",2007,"IF Coho",3,8298
"33","Coho","Lower_Thompson",2008,"IF Coho",3,3335
"34","Coho","Lower_Thompson",2009,"IF Coho",3,3626
