Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
2004,Lower_Thompson,Lower Thompson,Tranquille R,yellow,16.33634601,16.33634601,16.33634601
2005,Lower_Thompson,Lower Thompson,Tranquille R,yellow,8,8,8
2006,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2007,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2008,Lower_Thompson,Lower Thompson,Tranquille R,yellow,0,0,0
2009,Lower_Thompson,Lower Thompson,Tranquille R,yellow,25,25,25
2010,Lower_Thompson,Lower Thompson,Tranquille R,yellow,13,13,13
2011,Lower_Thompson,Lower Thompson,Tranquille R,yellow,13,13,13
2012,Lower_Thompson,Lower Thompson,Tranquille R,yellow,158.4666667,158.4666667,158.4666667
2013,Lower_Thompson,Lower Thompson,Tranquille R,yellow,70.8,70.8,70.8
2014,Lower_Thompson,Lower Thompson,Tranquille R,yellow,55.23385301,55.23385301,55.23385301
2015,Lower_Thompson,Lower Thompson,Tranquille R,yellow,7.259259259,7.259259259,7.259259259
2016,Lower_Thompson,Lower Thompson,Tranquille R,yellow,2.865690532,2.865690532,2.865690532
2017,Lower_Thompson,Lower Thompson,Tranquille R,yellow,12.14881273,12.14881273,12.14881273
2018,Lower_Thompson,Lower Thompson,Tranquille R,yellow,2.773176549,2.773176549,2.773176549
2019,Lower_Thompson,Lower Thompson,Tranquille R,yellow,21.03703704,21.03703704,21.03703704
2020,Lower_Thompson,Lower Thompson,Tranquille R,yellow,8,8,8
1998,Lower_Thompson,Nicola,Coldwater R,green,781,691,310.301904
1999,Lower_Thompson,Nicola,Coldwater R,green,2055,1812,1518.866822
2000,Lower_Thompson,Nicola,Coldwater R,green,3080,2870,1828.764218
2001,Lower_Thompson,Nicola,Coldwater R,green,4916,4600,3640.244617
2002,Lower_Thompson,Nicola,Coldwater R,green,5947,5661,3888.531178
2003,Lower_Thompson,Nicola,Coldwater R,green,1259,1194,180.4015744
2004,Lower_Thompson,Nicola,Coldwater R,green,1411,1267,569.9950629
2005,Lower_Thompson,Nicola,Coldwater R,green,1045,935,691.2241203
2006,Lower_Thompson,Nicola,Coldwater R,green,389,300,383.8617878
2007,Lower_Thompson,Nicola,Coldwater R,green,3455,3348,2502.942004
2008,Lower_Thompson,Nicola,Coldwater R,green,1813,1754,1508.66788
2009,Lower_Thompson,Nicola,Coldwater R,green,2887,2751,2254.280763
2010,Lower_Thompson,Nicola,Coldwater R,green,4785,4659,3998.719211
2011,Lower_Thompson,Nicola,Coldwater R,green,3178,3076,2576.564939
2012,Lower_Thompson,Nicola,Coldwater R,green,2416,2320,1736.115667
2013,Lower_Thompson,Nicola,Coldwater R,green,5727,5625,5349.747761
2014,Lower_Thompson,Nicola,Coldwater R,green,3803,3711,2979.412985
2015,Lower_Thompson,Nicola,Coldwater R,green,2339,2294,1842.436591
2016,Lower_Thompson,Nicola,Coldwater R,green,5707,5549,4905.016371
2017,Lower_Thompson,Nicola,Coldwater R,green,1757,1492,1266.833481
2018,Lower_Thompson,Nicola,Coldwater R,green,4653,4283,4193.998078
2019,Lower_Thompson,Nicola,Coldwater R,green,7153,6814,4587.320865
2020,Lower_Thompson,Nicola,Coldwater R,green,9468,9213,6303.773479
1998,Lower_Thompson,Nicola,Spius Cr,green,1535,1271,0
1999,Lower_Thompson,Nicola,Spius Cr,green,1324,1032,0
2000,Lower_Thompson,Nicola,Spius Cr,green,1233.25905,1034.25905,499.3014417
2001,Lower_Thompson,Nicola,Spius Cr,green,4167,3910,784.6360017
2002,Lower_Thompson,Nicola,Spius Cr,green,5822,5575,402.8181961
2003,Lower_Thompson,Nicola,Spius Cr,green,638,400,440.491418
2004,Lower_Thompson,Nicola,Spius Cr,green,1492,1480,744.9261468
2005,Lower_Thompson,Nicola,Spius Cr,green,327,222,0
2006,Lower_Thompson,Nicola,Spius Cr,green,316,316,307.0937932
2007,Lower_Thompson,Nicola,Spius Cr,green,2445.72586,2445.72586,2444.978393
2008,Lower_Thompson,Nicola,Spius Cr,green,925.720117,925.720117,925.4139322
2009,Lower_Thompson,Nicola,Spius Cr,green,1164.368467,1152.368467,1163.58352
2010,Lower_Thompson,Nicola,Spius Cr,green,2935.119298,2932.119298,2934.074156
2011,Lower_Thompson,Nicola,Spius Cr,green,1762.374973,1762.374973,1759.949803
2012,Lower_Thompson,Nicola,Spius Cr,green,2772.02953,2772.02953,2772.02953
2013,Lower_Thompson,Nicola,Spius Cr,green,1098,1098,1098
2014,Lower_Thompson,Nicola,Spius Cr,green,1151,1151,1151
2015,Lower_Thompson,Nicola,Spius Cr,green,927,923,922.2713007
2016,Lower_Thompson,Nicola,Spius Cr,green,1788,1788,1788
2017,Lower_Thompson,Nicola,Spius Cr,green,1081,1081,1074.191908
2018,Lower_Thompson,Nicola,Spius Cr,green,2226,2226,2220.086565
2019,Lower_Thompson,Nicola,Spius Cr,green,1784,1784,1782.832082
2020,Lower_Thompson,Nicola,Spius Cr,green,4416,4416,4415.369336
1998,Middle_Fraser,Lower Middle Fraser,Bridge R,green,588,548,570.924578
1999,Middle_Fraser,Lower Middle Fraser,Bridge R,green,298,298,254.2680005
2000,Middle_Fraser,Lower Middle Fraser,Bridge R,green,276,276,227.7564411
2001,Middle_Fraser,Lower Middle Fraser,Bridge R,green,634,634,355.970806
2002,Middle_Fraser,Lower Middle Fraser,Bridge R,green,321,321,175.9597751
2003,Middle_Fraser,Lower Middle Fraser,Bridge R,green,1466,1466,1466
2004,Middle_Fraser,Lower Middle Fraser,Bridge R,green,336,336,336
2005,Middle_Fraser,Lower Middle Fraser,Bridge R,green,562,562,562
2006,Middle_Fraser,Lower Middle Fraser,Bridge R,green,491.5833333,491.5833333,491.5833333
