Return.Year,Conservation.Unit,Sub.Population,Tributary.Deme,WSP.2014.Data.Use.Categories,Total.Return,Total.Spawners,Natural.Returns
2004,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1523,1523,1523
2005,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,498,498,498
2006,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,273,273,273
2007,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,5538,5538,5538
2008,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,396,396,396
2009,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,577,577,577
2010,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,2220,2220,2220
2011,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,858,858,858
2012,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1550,1550,1550
2013,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,5153,5153,5144.677063
2014,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,656,656,656
2015,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,520.168254,520.168254,520.168254
2016,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,5360,5296,5360
2017,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1232.733233,1232.733233,1232.733233
2018,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1137.814815,1137.814815,1137.814815
2019,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1018,1018,1018
2020,Middle_Fraser,Upper Middle Fraser,McKinley Cr,green,1500.430618,1500.430618,1500.430618
1998,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,194.4402173,194.4402173,194.4402173
1999,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,228,228,228
2000,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,480,480,480
2001,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,339,339,339
2002,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,18,18,18
2003,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,27,27,27
2004,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,321,321,321
2005,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,225,225,225
2006,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,87,87,87
2007,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,189,189,189
2008,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,66,66,66
2009,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,90,90,90
2010,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,183,183,183
2011,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,153,153,153
2012,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,30,30,30
2013,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,192,192,192
2014,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,9,9,9
2015,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,6,6,6
2016,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,1215,1215,1215
2017,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,205.1,205.1,205.1
2018,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,54,54,54
2019,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,0,0,0
2020,Middle_Fraser,Upper Middle Fraser,Mitchell R,yellow,117,117,117
1998,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,60.30199457,60.30199457,60.30199457
1999,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,0,0,0
2000,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,68,68,68
2001,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,69,69,69
2002,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,0,0,0
2003,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,46,46,46
2004,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,75,75,75
2005,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,0,0,0
2006,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,90,90,90
2007,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,207,207,207
2008,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,90,90,90
2009,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,28,28,28
2010,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,57,57,57
2011,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,47,47,47
2012,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,12,12,12
2013,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,15,15,15
2014,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,27,27,27
2015,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,0,0,0
2016,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,471,471,471
2017,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,75,75,75
2018,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,153,153,153
2019,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,0,0,0
2020,Middle_Fraser,Upper Middle Fraser,Penfold Cr,yellow,0,0,0
1998,North_Thompson,Lower North Thompson,Barriere R,green,403.5874439,403.5874439,403.5874439
1999,North_Thompson,Lower North Thompson,Barriere R,green,1186.098655,1186.098655,1186.098655
2000,North_Thompson,Lower North Thompson,Barriere R,green,542.6008969,542.6008969,542.6008969
2001,North_Thompson,Lower North Thompson,Barriere R,green,2040.358744,2040.358744,2040.358744
2002,North_Thompson,Lower North Thompson,Barriere R,green,1704.035874,1704.035874,1704.035874
2003,North_Thompson,Lower North Thompson,Barriere R,green,363.2286996,363.2286996,363.2286996
2004,North_Thompson,Lower North Thompson,Barriere R,green,390.1345291,390.1345291,390.1345291
2005,North_Thompson,Lower North Thompson,Barriere R,green,183.8565022,183.8565022,183.8565022
2006,North_Thompson,Lower North Thompson,Barriere R,green,760.0896861,760.0896861,760.0896861
2007,North_Thompson,Lower North Thompson,Barriere R,green,1562.780269,1562.780269,1562.780269
2008,North_Thompson,Lower North Thompson,Barriere R,green,204.0358744,204.0358744,204.0358744
2009,North_Thompson,Lower North Thompson,Barriere R,green,1239.910314,1239.910314,1239.910314
2010,North_Thompson,Lower North Thompson,Barriere R,green,1213.004484,1213.004484,1213.004484
2011,North_Thompson,Lower North Thompson,Barriere R,green,856.5022422,856.5022422,856.5022422
2012,North_Thompson,Lower North Thompson,Barriere R,green,3076.396807,3076.396807,3076.396807
2013,North_Thompson,Lower North Thompson,Barriere R,green,1944.888889,1944.888889,1944.888889
2014,North_Thompson,Lower North Thompson,Barriere R,green,83.66666667,83.66666667,83.66666667
2015,North_Thompson,Lower North Thompson,Barriere R (lwr),green,88.14814815,88.14814815,88.14814815
2016,North_Thompson,Lower North Thompson,Barriere R (lwr),green,1218.518519,1218.518519,1218.518519
2017,North_Thompson,Lower North Thompson,Barriere R (lwr),green,1187.407407,1187.407407,1187.407407
2018,North_Thompson,Lower North Thompson,Barriere R (lwr),green,1016.296296,1016.296296,1016.296296
2019,North_Thompson,Lower North Thompson,Barriere R (lwr),green,1240.444444,1240.444444,1240.444444
2020,North_Thompson,Lower North Thompson,Barriere R (lwr),green,1591,1591,1591
2015,North_Thompson,Lower North Thompson,Barriere R (upr),green,59.61111111,59.61111111,59.61111111
2016,North_Thompson,Lower North Thompson,Barriere R (upr),green,381.2222222,381.2222222,381.2222222
2017,North_Thompson,Lower North Thompson,Barriere R (upr),green,585.1111111,585.1111111,585.1111111
2018,North_Thompson,Lower North Thompson,Barriere R (upr),green,500.1111111,500.1111111,500.1111111
2019,North_Thompson,Lower North Thompson,Barriere R (upr),green,383.2666667,383.2666667,383.2666667
2020,North_Thompson,Lower North Thompson,Barriere R (upr),green,1241,1241,1241
1998,North_Thompson,Lower North Thompson,Darlington Cr,yellow,5,5,5
1999,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2000,North_Thompson,Lower North Thompson,Darlington Cr,yellow,12,12,12
2001,North_Thompson,Lower North Thompson,Darlington Cr,yellow,58,58,58
2002,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2003,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2004,North_Thompson,Lower North Thompson,Darlington Cr,yellow,10,10,10
2005,North_Thompson,Lower North Thompson,Darlington Cr,yellow,5,5,5
2006,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2007,North_Thompson,Lower North Thompson,Darlington Cr,yellow,7,7,7
2008,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2009,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2010,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2011,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2012,North_Thompson,Lower North Thompson,Darlington Cr,yellow,10,10,10
2013,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2014,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2015,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2016,North_Thompson,Lower North Thompson,Darlington Cr,yellow,14.37037037,14.37037037,14.37037037
2017,North_Thompson,Lower North Thompson,Darlington Cr,yellow,0,0,0
2018,North_Thompson,Lower North Thompson,Darlington Cr,yellow,8,8,8
2019,North_Thompson,Lower North Thompson,Darlington Cr,yellow,24.22222222,24.22222222,24.22222222
2020,North_Thompson,Lower North Thompson,Darlington Cr,yellow,13.48148148,13.48148148,13.48148148
1998,North_Thompson,Lower North Thompson,Dunn Cr,green,1014,962,746.988466
1999,North_Thompson,Lower North Thompson,Dunn Cr,green,738,668,738
2000,North_Thompson,Lower North Thompson,Dunn Cr,green,2596,2514,1972.125411
2001,North_Thompson,Lower North Thompson,Dunn Cr,green,3414,3316,2895.142197
2002,North_Thompson,Lower North Thompson,Dunn Cr,green,4526,4477,3714.937228
2003,North_Thompson,Lower North Thompson,Dunn Cr,green,2373,2286,2172.360819
2004,North_Thompson,Lower North Thompson,Dunn Cr,green,1471,1402,1354.619228
2005,North_Thompson,Lower North Thompson,Dunn Cr,green,532,465,483.4723959
2006,North_Thompson,Lower North Thompson,Dunn Cr,green,674,620,671.323469
2007,North_Thompson,Lower North Thompson,Dunn Cr,green,1551,1432,1450.392312
2008,North_Thompson,Lower North Thompson,Dunn Cr,green,952,914,880.6638271
2009,North_Thompson,Lower North Thompson,Dunn Cr,green,1182,1105,991.6899199
2010,North_Thompson,Lower North Thompson,Dunn Cr,green,1783,1717,1607.42948
2011,North_Thompson,Lower North Thompson,Dunn Cr,green,1820,1753,1819.015324
2012,North_Thompson,Lower North Thompson,Dunn Cr,green,3861,3795,3644.509025
2013,North_Thompson,Lower North Thompson,Dunn Cr,green,2963,2877,2730.25149
2014,North_Thompson,Lower North Thompson,Dunn Cr,green,1103,962,1034.759416
2015,North_Thompson,Lower North Thompson,Dunn Cr,green,706,597,637.189933
2016,North_Thompson,Lower North Thompson,Dunn Cr,green,2869,2828,2759.532561
2017,North_Thompson,Lower North Thompson,Dunn Cr,green,1558,1426,1422.114822
2018,North_Thompson,Lower North Thompson,Dunn Cr,green,2320,2218,2111.129359
2019,North_Thompson,Lower North Thompson,Dunn Cr,green,2585,2493,2301.831794
2020,North_Thompson,Lower North Thompson,Dunn Cr,green,3066,2925,2775.810461
1998,North_Thompson,Lower North Thompson,E Barriere R,green,99,99,99
1999,North_Thompson,Lower North Thompson,E Barriere R,green,4,4,4
2000,North_Thompson,Lower North Thompson,E Barriere R,green,2,2,2
2001,North_Thompson,Lower North Thompson,E Barriere R,green,41,41,41
2002,North_Thompson,Lower North Thompson,E Barriere R,green,16,16,16
2003,North_Thompson,Lower North Thompson,E Barriere R,green,8,8,8
2004,North_Thompson,Lower North Thompson,E Barriere R,green,2,2,2
2005,North_Thompson,Lower North Thompson,E Barriere R,green,19,19,19
2006,North_Thompson,Lower North Thompson,E Barriere R,green,0,0,0
2007,North_Thompson,Lower North Thompson,E Barriere R,green,120,120,120
2008,North_Thompson,Lower North Thompson,E Barriere R,green,8,8,8
2009,North_Thompson,Lower North Thompson,E Barriere R,green,0,0,0
2010,North_Thompson,Lower North Thompson,E Barriere R,green,10,10,10
2011,North_Thompson,Lower North Thompson,E Barriere R,green,4,4,4
2012,North_Thompson,Lower North Thompson,E Barriere R,green,0,0,0
2013,North_Thompson,Lower North Thompson,E Barriere R,green,73.72222222,73.72222222,73.72222222
2014,North_Thompson,Lower North Thompson,E Barriere R,green,11.57591288,11.57591288,11.57591288
2015,North_Thompson,Lower North Thompson,E Barriere R,green,2.73152743,2.73152743,2.73152743
2016,North_Thompson,Lower North Thompson,E Barriere R,green,115.1111111,115.1111111,115.1111111
2017,North_Thompson,Lower North Thompson,E Barriere R,green,5.555555556,5.555555556,5.555555556
2018,North_Thompson,Lower North Thompson,E Barriere R,green,14.37037037,14.37037037,14.37037037
2019,North_Thompson,Lower North Thompson,E Barriere R,green,178.962963,178.962963,178.962963
2020,North_Thompson,Lower North Thompson,E Barriere R,green,28.74074074,28.74074074,28.74074074
1998,North_Thompson,Lower North Thompson,Fennell Cr,green,2614,2614,2614
1999,North_Thompson,Lower North Thompson,Fennell Cr,green,1745,1745,1745
2000,North_Thompson,Lower North Thompson,Fennell Cr,green,833,833,833
2001,North_Thompson,Lower North Thompson,Fennell Cr,green,2707,2707,2707
2002,North_Thompson,Lower North Thompson,Fennell Cr,green,1948,1948,1948
2003,North_Thompson,Lower North Thompson,Fennell Cr,green,167,167,167
2004,North_Thompson,Lower North Thompson,Fennell Cr,green,571,571,571
2005,North_Thompson,Lower North Thompson,Fennell Cr,green,174,174,174
2006,North_Thompson,Lower North Thompson,Fennell Cr,green,190,190,190
2007,North_Thompson,Lower North Thompson,Fennell Cr,green,1117,1117,1117
2008,North_Thompson,Lower North Thompson,Fennell Cr,green,208,208,208
2009,North_Thompson,Lower North Thompson,Fennell Cr,green,495,495,495
2010,North_Thompson,Lower North Thompson,Fennell Cr,green,664,664,664
2011,North_Thompson,Lower North Thompson,Fennell Cr,green,486,486,486
2012,North_Thompson,Lower North Thompson,Fennell Cr,green,1245,1245,1245
2013,North_Thompson,Lower North Thompson,Fennell Cr,green,1082,1082,1082
2014,North_Thompson,Lower North Thompson,Fennell Cr,green,56.55555556,56.55555556,56.55555556
2015,North_Thompson,Lower North Thompson,Fennell Cr,green,2.73152743,2.73152743,2.73152743
2016,North_Thompson,Lower North Thompson,Fennell Cr,green,203.2592593,203.2592593,203.2592593
2017,North_Thompson,Lower North Thompson,Fennell Cr,green,231.3333333,231.3333333,231.3333333
2018,North_Thompson,Lower North Thompson,Fennell Cr,green,85.55555556,85.55555556,85.55555556
2019,North_Thompson,Lower North Thompson,Fennell Cr,green,68.51851852,68.51851852,68.51851852
2020,North_Thompson,Lower North Thompson,Fennell Cr,green,145,145,145
1998,North_Thompson,Lower North Thompson,Haggard Cr,yellow,5,5,5
1999,North_Thompson,Lower North Thompson,Haggard Cr,yellow,6,6,6
2000,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
2001,North_Thompson,Lower North Thompson,Haggard Cr,yellow,25,25,25
2002,North_Thompson,Lower North Thompson,Haggard Cr,yellow,14,14,14
2003,North_Thompson,Lower North Thompson,Haggard Cr,yellow,28,28,28
2004,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
2005,North_Thompson,Lower North Thompson,Haggard Cr,yellow,3,3,3
2006,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
2007,North_Thompson,Lower North Thompson,Haggard Cr,yellow,13,13,13
2008,North_Thompson,Lower North Thompson,Haggard Cr,yellow,2,2,2
2009,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
2010,North_Thompson,Lower North Thompson,Haggard Cr,yellow,2,2,2
2011,North_Thompson,Lower North Thompson,Haggard Cr,yellow,2,2,2
2012,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
2013,North_Thompson,Lower North Thompson,Haggard Cr,yellow,7.944444444,7.944444444,7.944444444
2014,North_Thompson,Lower North Thompson,Haggard Cr,yellow,2.754439616,2.754439616,2.754439616
2015,North_Thompson,Lower North Thompson,Haggard Cr,yellow,3.111111111,3.111111111,3.111111111
2016,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
2017,North_Thompson,Lower North Thompson,Haggard Cr,yellow,9.325257166,9.325257166,9.325257166
2018,North_Thompson,Lower North Thompson,Haggard Cr,yellow,2.669584634,2.669584634,2.669584634
2019,North_Thompson,Lower North Thompson,Haggard Cr,yellow,7.259259259,7.259259259,7.259259259
2020,North_Thompson,Lower North Thompson,Haggard Cr,yellow,0,0,0
1998,North_Thompson,Lower North Thompson,Harper Cr,yellow,10.02774426,10.02774426,10.02774426
1999,North_Thompson,Lower North Thompson,Harper Cr,yellow,9.657600968,9.657600968,9.657600968
2000,North_Thompson,Lower North Thompson,Harper Cr,yellow,8,8,8
2001,North_Thompson,Lower North Thompson,Harper Cr,yellow,0,0,0
2002,North_Thompson,Lower North Thompson,Harper Cr,yellow,52,52,52
2003,North_Thompson,Lower North Thompson,Harper Cr,yellow,7,7,7
2004,North_Thompson,Lower North Thompson,Harper Cr,yellow,2,2,2
2005,North_Thompson,Lower North Thompson,Harper Cr,yellow,5,5,5
2006,North_Thompson,Lower North Thompson,Harper Cr,yellow,0,0,0
2007,North_Thompson,Lower North Thompson,Harper Cr,yellow,24,24,24
2008,North_Thompson,Lower North Thompson,Harper Cr,yellow,0,0,0
2009,North_Thompson,Lower North Thompson,Harper Cr,yellow,26,26,26
2010,North_Thompson,Lower North Thompson,Harper Cr,yellow,5,5,5
2011,North_Thompson,Lower North Thompson,Harper Cr,yellow,0,0,0
2012,North_Thompson,Lower North Thompson,Harper Cr,yellow,32.68688542,32.68688542,32.68688542
2013,North_Thompson,Lower North Thompson,Harper Cr,yellow,3.919696033,3.919696033,3.919696033
2014,North_Thompson,Lower North Thompson,Harper Cr,yellow,6,6,6
2015,North_Thompson,Lower North Thompson,Harper Cr,yellow,2.73152743,2.73152743,2.73152743
2016,North_Thompson,Lower North Thompson,Harper Cr,yellow,22.37037037,22.37037037,22.37037037
2017,North_Thompson,Lower North Thompson,Harper Cr,yellow,6.740740741,6.740740741,6.740740741
2018,North_Thompson,Lower North Thompson,Harper Cr,yellow,30.14814815,30.14814815,30.14814815
2019,North_Thompson,Lower North Thompson,Harper Cr,yellow,18,18,18
2020,North_Thompson,Lower North Thompson,Harper Cr,yellow,38.88888889,38.88888889,38.88888889
1998,North_Thompson,Lower North Thompson,Lemieux Cr,green,646,605,440.4695476
1999,North_Thompson,Lower North Thompson,Lemieux Cr,green,506,460,294.9967924
2000,North_Thompson,Lower North Thompson,Lemieux Cr,green,1357,1308,720.1961037
2001,North_Thompson,Lower North Thompson,Lemieux Cr,green,2433,2405,1758.896648
2002,North_Thompson,Lower North Thompson,Lemieux Cr,green,1633,1602,798.7018566
2003,North_Thompson,Lower North Thompson,Lemieux Cr,green,170,129,0
2004,North_Thompson,Lower North Thompson,Lemieux Cr,green,873,842,754.1869832
2005,North_Thompson,Lower North Thompson,Lemieux Cr,green,684,638,646.9672077
2006,North_Thompson,Lower North Thompson,Lemieux Cr,green,105,82,102.985219
2007,North_Thompson,Lower North Thompson,Lemieux Cr,green,1598,1556,1475.907573
2008,North_Thompson,Lower North Thompson,Lemieux Cr,green,230,186,173.6131306
2009,North_Thompson,Lower North Thompson,Lemieux Cr,green,334,293,122.2563897
2010,North_Thompson,Lower North Thompson,Lemieux Cr,green,1000,958,785.3472106
2011,North_Thompson,Lower North Thompson,Lemieux Cr,green,702,702,245.6019453
2012,North_Thompson,Lower North Thompson,Lemieux Cr,green,3246.370201,3246.370201,2864.826279
2013,North_Thompson,Lower North Thompson,Lemieux Cr,green,2042.555556,2042.555556,2019.453488
2014,North_Thompson,Lower North Thompson,Lemieux Cr,green,695,695,695
2015,North_Thompson,Lower North Thompson,Lemieux Cr,green,351.1851852,351.1851852,351.1851852
2016,North_Thompson,Lower North Thompson,Lemieux Cr,green,1739.111111,1739.111111,1739.111111
2017,North_Thompson,Lower North Thompson,Lemieux Cr,green,1034.814815,1034.814815,1034.814815
2018,North_Thompson,Lower North Thompson,Lemieux Cr,green,322.5185185,322.5185185,322.5185185
2019,North_Thompson,Lower North Thompson,Lemieux Cr,green,1152.888889,1152.888889,1152.888889
2020,North_Thompson,Lower North Thompson,Lemieux Cr,green,1837,1837,1837
1998,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,6.126229046,6.126229046,6.126229046
1999,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,7,7,7
2000,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,6,6,6
2001,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,67,67,67
2002,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,10,10,10
2003,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2004,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,7,7,7
2005,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,2,2,2
2006,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2007,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,3,3,3
2008,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,2,2,2
2009,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0.01,0.01,0.01
2010,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2011,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2012,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,12,12,12
2013,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2014,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2015,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,0,0,0
2016,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,40.74074074,40.74074074,40.74074074
2017,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,9.851851852,9.851851852,9.851851852
2018,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,2.669584634,2.669584634,2.669584634
2019,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,7.259259259,7.259259259,7.259259259
2020,North_Thompson,Lower North Thompson,Lindquist Cr,yellow,12.14814815,12.14814815,12.14814815
1998,North_Thompson,Lower North Thompson,Louis Cr,green,226,195,226
1999,North_Thompson,Lower North Thompson,Louis Cr,green,560,514,559.5876363
2000,North_Thompson,Lower North Thompson,Louis Cr,green,501,462,171.8946694
2001,North_Thompson,Lower North Thompson,Louis Cr,green,1499,1455,880.653075
2002,North_Thompson,Lower North Thompson,Louis Cr,green,1929,1885,1089.527455
2003,North_Thompson,Lower North Thompson,Louis Cr,green,1050,1005,864.1808098
2004,North_Thompson,Lower North Thompson,Louis Cr,green,1139,1113,924.6458032
2005,North_Thompson,Lower North Thompson,Louis Cr,green,1177,1131,1125.306798
2006,North_Thompson,Lower North Thompson,Louis Cr,green,221,182,219.085478
2007,North_Thompson,Lower North Thompson,Louis Cr,green,1473,1432,1385.142348
2008,North_Thompson,Lower North Thompson,Louis Cr,green,649,649,577.0322987
2009,North_Thompson,Lower North Thompson,Louis Cr,green,395,395,368.1980722
2010,North_Thompson,Lower North Thompson,Louis Cr,green,1012,978,904.7773504
2011,North_Thompson,Lower North Thompson,Louis Cr,green,1766,1766,1766
2012,North_Thompson,Lower North Thompson,Louis Cr,green,356.0623337,356.0623337,356.0623337
2013,North_Thompson,Lower North Thompson,Louis Cr,green,1361,1361,1196.699465
2014,North_Thompson,Lower North Thompson,Louis Cr,green,952.3188994,952.3188994,952.3188994
2015,North_Thompson,Lower North Thompson,Louis Cr,green,58.80181856,58.80181856,58.80181856
2016,North_Thompson,Lower North Thompson,Louis Cr,green,529.4158211,529.4158211,529.4158211
2017,North_Thompson,Lower North Thompson,Louis Cr,green,2431.62963,2431.62963,2431.62963
2018,North_Thompson,Lower North Thompson,Louis Cr,green,458.1237588,458.1237588,458.1237588
2019,North_Thompson,Lower North Thompson,Louis Cr,green,2352,2352,2352
2020,North_Thompson,Lower North Thompson,Louis Cr,green,5646,5646,5646
1998,North_Thompson,Lower North Thompson,Mann Cr,green,263,245,263
1999,North_Thompson,Lower North Thompson,Mann Cr,green,113,105,113
2000,North_Thompson,Lower North Thompson,Mann Cr,green,55,55,55
2001,North_Thompson,Lower North Thompson,Mann Cr,green,176,176,176
2002,North_Thompson,Lower North Thompson,Mann Cr,green,301,301,301
2003,North_Thompson,Lower North Thompson,Mann Cr,green,20,20,20
2004,North_Thompson,Lower North Thompson,Mann Cr,green,7,7,7
2005,North_Thompson,Lower North Thompson,Mann Cr,green,9,9,9
2006,North_Thompson,Lower North Thompson,Mann Cr,green,6,6,6
2007,North_Thompson,Lower North Thompson,Mann Cr,green,28,28,28
2008,North_Thompson,Lower North Thompson,Mann Cr,green,0,0,0
2009,North_Thompson,Lower North Thompson,Mann Cr,green,32,32,32
2010,North_Thompson,Lower North Thompson,Mann Cr,green,9,9,9
2011,North_Thompson,Lower North Thompson,Mann Cr,green,108,108,108
2012,North_Thompson,Lower North Thompson,Mann Cr,green,108.5518814,108.5518814,108.5518814
2013,North_Thompson,Lower North Thompson,Mann Cr,green,88.27777778,88.27777778,88.27777778
2014,North_Thompson,Lower North Thompson,Mann Cr,green,19.44159727,19.44159727,19.44159727
2015,North_Thompson,Lower North Thompson,Mann Cr,green,31.11111111,31.11111111,31.11111111
2016,North_Thompson,Lower North Thompson,Mann Cr,green,60.88888889,60.88888889,60.88888889
2017,North_Thompson,Lower North Thompson,Mann Cr,green,97.48148148,97.48148148,97.48148148
2018,North_Thompson,Lower North Thompson,Mann Cr,green,0,0,0
2019,North_Thompson,Lower North Thompson,Mann Cr,green,52.37037037,52.37037037,52.37037037
2020,North_Thompson,Lower North Thompson,Mann Cr,green,30.22222222,30.22222222,30.22222222
1998,North_Thompson,Lower North Thompson,Paul Cr,yellow,9,9,9
1999,North_Thompson,Lower North Thompson,Paul Cr,yellow,10,10,10
2000,North_Thompson,Lower North Thompson,Paul Cr,yellow,8,8,8
2001,North_Thompson,Lower North Thompson,Paul Cr,yellow,25,25,25
2002,North_Thompson,Lower North Thompson,Paul Cr,yellow,49,49,49
2003,North_Thompson,Lower North Thompson,Paul Cr,yellow,25,25,25
2004,North_Thompson,Lower North Thompson,Paul Cr,yellow,10,10,10
2005,North_Thompson,Lower North Thompson,Paul Cr,yellow,0,0,0
2006,North_Thompson,Lower North Thompson,Paul Cr,yellow,5,5,5
2007,North_Thompson,Lower North Thompson,Paul Cr,yellow,7,7,7
2008,North_Thompson,Lower North Thompson,Paul Cr,yellow,0,0,0
2009,North_Thompson,Lower North Thompson,Paul Cr,yellow,0,0,0
2010,North_Thompson,Lower North Thompson,Paul Cr,yellow,0,0,0
2011,North_Thompson,Lower North Thompson,Paul Cr,yellow,10,10,10
2012,North_Thompson,Lower North Thompson,Paul Cr,yellow,13.61953559,13.61953559,13.61953559
2013,North_Thompson,Lower North Thompson,Paul Cr,yellow,17.63863215,17.63863215,17.63863215
2014,North_Thompson,Lower North Thompson,Paul Cr,yellow,0,0,0
2015,North_Thompson,Lower North Thompson,Paul Cr,yellow,46.66666667,46.66666667,46.66666667
2016,North_Thompson,Lower North Thompson,Paul Cr,yellow,11.32870012,11.32870012,11.32870012
2017,North_Thompson,Lower North Thompson,Paul Cr,yellow,0,0,0
