"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1965,434713.891095225,310943.655615429,558484.126575022,"Percentile","BinLogistic",FALSE,FALSE
"2",1966,327585.083262215,301695.257825639,353474.90869879,"Percentile","BinLogistic",FALSE,FALSE
"3",1967,486273.613786849,270778.644951833,701768.582621865,"Percentile","BinLogistic",FALSE,FALSE
"4",1968,439133.119834396,315050.858797579,563215.380871214,"Percentile","BinLogistic",FALSE,FALSE
"5",1969,552198.797524566,267343.772664065,837053.822385067,"Percentile","BinLogistic",FALSE,FALSE
"6",1970,513991.041721161,331713.393476238,696268.689966084,"Percentile","BinLogistic",FALSE,FALSE
"7",1971,721619.060531381,237562.095538015,1205676.02552475,"Percentile","BinLogistic",FALSE,FALSE
"8",1972,639778.929867719,354186.809219787,925371.050515652,"Percentile","BinLogistic",FALSE,FALSE
"9",1973,605898.829805593,397633.790971633,814163.868639553,"Percentile","BinLogistic",FALSE,FALSE
"10",1974,694602.010064054,375948.203349921,1013255.81677819,"Percentile","BinLogistic",FALSE,FALSE
"11",1975,958981.228947666,278064.03355121,1639898.42434412,"Percentile","BinLogistic",FALSE,FALSE
"12",1976,1037530.50855058,133074.984540976,1941986.03256019,"Percentile","BinLogistic",FALSE,FALSE
"13",1977,976075.666429201,194186.0023846,1757965.3304738,"Percentile","BinLogistic",FALSE,FALSE
"14",1978,912629.891706801,261529.842781873,1563729.94063173,"Percentile","BinLogistic",FALSE,FALSE
"15",1979,953121.195289543,313645.249193543,1592597.14138554,"Percentile","BinLogistic",FALSE,FALSE
"16",1980,1162273.404692,-58905.3562987617,2383452.16568276,"Percentile","BinLogistic",FALSE,FALSE
"17",1981,1079249.95899087,96620.8383205383,2061879.07966121,"Percentile","BinLogistic",FALSE,FALSE
"18",1982,976071.925018485,262899.867003245,1689243.98303372,"Percentile","BinLogistic",FALSE,FALSE
"19",1983,1062533.8716729,288726.274844911,1836341.4685009,"Percentile","BinLogistic",FALSE,FALSE
"20",1984,959091.546573857,425067.453746521,1493115.63940119,"Percentile","BinLogistic",FALSE,FALSE
"21",1985,889924.828758412,506690.841461438,1273158.81605539,"Percentile","BinLogistic",FALSE,FALSE
"22",1986,975941.367551646,473885.500766726,1477997.23433657,"Percentile","BinLogistic",FALSE,FALSE
"23",1987,1302437.32893409,271282.454256644,2333592.20361154,"Percentile","BinLogistic",FALSE,FALSE
"24",1988,1155393.07993459,485300.983498017,1825485.17637117,"Percentile","BinLogistic",FALSE,FALSE
"25",1989,1208878.86712692,444165.167432963,1973592.56682089,"Percentile","BinLogistic",FALSE,FALSE
"26",1990,1204945.04212625,456881.985694245,1953008.09855825,"Percentile","BinLogistic",FALSE,FALSE
"27",1991,1315492.54994153,431436.666929861,2199548.4329532,"Percentile","BinLogistic",FALSE,FALSE
"28",1992,1407480.58729431,310496.81051309,2504464.36407553,"Percentile","BinLogistic",FALSE,FALSE
"29",1993,1402278.77981354,352771.425908728,2451786.13371835,"Percentile","BinLogistic",FALSE,FALSE
"30",1994,1272053.41490262,519178.112781693,2024928.71702355,"Percentile","BinLogistic",FALSE,FALSE
"31",1995,1387983.01609454,487773.62380605,2288192.40838304,"Percentile","BinLogistic",FALSE,FALSE
"32",1996,1313229.98591545,542889.514620955,2083570.45720995,"Percentile","BinLogistic",FALSE,FALSE
"33",1997,1231712.17447817,591274.902631919,1872149.44632442,"Percentile","BinLogistic",FALSE,FALSE
"34",1998,1195063.36176917,603603.836605559,1786522.88693279,"Percentile","BinLogistic",FALSE,FALSE
"35",1999,1190092.84325451,648500.76788184,1731684.91862718,"Percentile","BinLogistic",FALSE,FALSE
"36",2000,1169143.32946778,647717.608255698,1690569.05067986,"Percentile","BinLogistic",FALSE,FALSE
"37",2001,1087391.77743617,678239.234432537,1496544.32043981,"Percentile","BinLogistic",FALSE,FALSE
"38",2002,1071276.49348499,686565.554430575,1455987.4325394,"Percentile","BinLogistic",FALSE,FALSE
"39",2003,1264025.97036001,680494.906790936,1847557.03392908,"Percentile","BinLogistic",FALSE,FALSE
"40",2004,2014413.56845004,94483.3921100544,3934343.74479003,"Percentile","BinLogistic",FALSE,FALSE
"41",2005,2062127.71739788,207263.029922237,3916992.40487351,"Percentile","BinLogistic",FALSE,FALSE
"42",2006,2411339.64379889,-274626.017220777,5097305.30481857,"Percentile","BinLogistic",FALSE,FALSE
"43",2007,2746660.40548336,-615724.407491215,6109045.21845794,"Percentile","BinLogistic",FALSE,FALSE
"44",2008,1914818.4191758,565533.95440221,3264102.88394939,"Percentile","BinLogistic",FALSE,FALSE
"45",2009,1844985.77877271,629908.991906949,3060062.56563847,"Percentile","BinLogistic",FALSE,FALSE
"46",2010,2154779.4244721,329452.096817709,3980106.75212649,"Percentile","BinLogistic",FALSE,FALSE
