"","BroodYear","Inlet_Name","Spawners","CU_Name","Inlet_ID","Recruits"
"33",1969,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1,NA
"34",1969,"Clayoquot",NA,"WCVI South",2,NA
"35",1970,"Kyuquot",2450,"WCVI Nootka & Kyuquot",1,NA
"36",1970,"Clayoquot",NA,"WCVI South",2,NA
"37",1971,"Kyuquot",1700,"WCVI Nootka & Kyuquot",1,NA
"38",1971,"Clayoquot",NA,"WCVI South",2,NA
"39",1972,"Kyuquot",1450,"WCVI Nootka & Kyuquot",1,NA
"40",1972,"Clayoquot",NA,"WCVI South",2,NA
"41",1973,"Kyuquot",3750,"WCVI Nootka & Kyuquot",1,NA
"42",1973,"Clayoquot",NA,"WCVI South",2,NA
"43",1974,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1,NA
"44",1974,"Clayoquot",NA,"WCVI South",2,NA
"45",1975,"Kyuquot",125,"WCVI Nootka & Kyuquot",1,NA
"46",1975,"Clayoquot",NA,"WCVI South",2,NA
"47",1976,"Kyuquot",75,"WCVI Nootka & Kyuquot",1,NA
"48",1976,"Clayoquot",NA,"WCVI South",2,NA
"49",1977,"Kyuquot",235,"WCVI Nootka & Kyuquot",1,NA
"50",1977,"Clayoquot",NA,"WCVI South",2,NA
"51",1978,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
"52",1978,"Clayoquot",NA,"WCVI South",2,NA
"53",1979,"Kyuquot",300,"WCVI Nootka & Kyuquot",1,NA
"54",1979,"Clayoquot",NA,"WCVI South",2,NA
"55",1980,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
"56",1980,"Clayoquot",NA,"WCVI South",2,NA
"57",1981,"Kyuquot",1600,"WCVI Nootka & Kyuquot",1,NA
"58",1981,"Clayoquot",NA,"WCVI South",2,NA
"59",1982,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
"60",1982,"Clayoquot",NA,"WCVI South",2,NA
"61",1983,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
"62",1983,"Clayoquot",NA,"WCVI South",2,NA
"63",1984,"Kyuquot",2550,"WCVI Nootka & Kyuquot",1,NA
"64",1984,"Clayoquot",NA,"WCVI South",2,NA
"65",1985,"Kyuquot",1900,"WCVI Nootka & Kyuquot",1,NA
"66",1985,"Clayoquot",NA,"WCVI South",2,NA
"67",1986,"Kyuquot",1200,"WCVI Nootka & Kyuquot",1,NA
"68",1986,"Clayoquot",NA,"WCVI South",2,NA
"69",1987,"Kyuquot",700,"WCVI Nootka & Kyuquot",1,NA
"70",1987,"Clayoquot",NA,"WCVI South",2,NA
"71",1988,"Kyuquot",NA,"WCVI Nootka & Kyuquot",1,NA
"72",1988,"Clayoquot",NA,"WCVI South",2,NA
"73",1989,"Kyuquot",520,"WCVI Nootka & Kyuquot",1,NA
"74",1989,"Clayoquot",NA,"WCVI South",2,NA
"75",1990,"Kyuquot",260,"WCVI Nootka & Kyuquot",1,NA
"76",1990,"Clayoquot",NA,"WCVI South",2,NA
"77",1991,"Kyuquot",160,"WCVI Nootka & Kyuquot",1,NA
