MU_Name,CU_Name,CU_ID,ReturnYear,BroodYear,Escapement
IF Coho,Lower_Thompson,3,2003,2000,2933
IF Coho,Lower_Thompson,3,2004,2001,4304
IF Coho,Lower_Thompson,3,2005,2002,2614
IF Coho,Lower_Thompson,3,2006,2003,1082
IF Coho,Lower_Thompson,3,2007,2004,10169
IF Coho,Lower_Thompson,3,2008,2005,3800
IF Coho,Lower_Thompson,3,2009,2006,4768
IF Coho,Lower_Thompson,3,2010,2007,12217
IF Coho,Lower_Thompson,3,2011,2008,7289
IF Coho,Lower_Thompson,3,2012,2009,11559
IF Coho,Lower_Thompson,3,2013,2010,11887
IF Coho,Lower_Thompson,3,2014,2011,7447
IF Coho,Lower_Thompson,3,2015,2012,5182
IF Coho,Lower_Thompson,3,2016,2013,13527
IF Coho,Lower_Thompson,3,2017,2014,4353
IF Coho,Lower_Thompson,3,2018,2015,7522
IF Coho,North_Thompson,4,1984,1981,41396
IF Coho,North_Thompson,4,1985,1982,17986
IF Coho,North_Thompson,4,1986,1983,30692
IF Coho,North_Thompson,4,1987,1984,31262
IF Coho,North_Thompson,4,1988,1985,35039
IF Coho,North_Thompson,4,1989,1986,24556
IF Coho,North_Thompson,4,1990,1987,17551
IF Coho,North_Thompson,4,1991,1988,12243
IF Coho,North_Thompson,4,1992,1989,15929
IF Coho,North_Thompson,4,1993,1990,6552
IF Coho,North_Thompson,4,1994,1991,14898
IF Coho,North_Thompson,4,1995,1992,12463
IF Coho,North_Thompson,4,1996,1993,5923
IF Coho,North_Thompson,4,1997,1994,8518
IF Coho,North_Thompson,4,1998,1995,9786
IF Coho,North_Thompson,4,1999,1996,10696
IF Coho,North_Thompson,4,2000,1997,8054
IF Coho,North_Thompson,4,2001,1998,27238
IF Coho,North_Thompson,4,2002,1999,22083
IF Coho,North_Thompson,4,2003,2000,7211
IF Coho,North_Thompson,4,2004,2001,10661
IF Coho,North_Thompson,4,2005,2002,4518
IF Coho,North_Thompson,4,2006,2003,3670
