Kyuquot,Clayquot,Quatsino,Barkley,Nookta/Esperenza
,,,-0.255469353,-0.097869935
,,,0.017736255,-0.182496276
-0.13,,,0.51973949,-0.07427063
,,,1.127263222,-0.166650026
-1.22,,,-1.17421635,-0.423556795
-1.30,,,-1.208851431,-1.442879664
0.28,-0.17238769,-0.568964607,0.393388255,-0.521073136
0.70,,0.334918271,1.104235893,-0.188175965
1.17,,0.993683971,1.438776761,0.748463056
-0.76,,1.228091939,-0.594699922,-0.422900359
-0.84,-0.706382748,-0.225848626,-1.282973718,-1.288241114
0.12,-0.141935749,,-1.307462091,0.148701256
0.13,,,-0.140078038,0.852877823
0.37,-0.230641478,,0.303371626,1.477062923
0.08,-0.343708466,0.724895492,0.130675645,0.938190588
0.59,1.115276908,-0.378386636,0.867085614,0.620623608
0.34,0.068345936,,0.279219724,-0.66005594
0.34,0.411433287,-0.276326312,0.268612251,-0.580514549
-0.03,,0.018498805,-1.029769515,-0.455434106
0.58,,0.242816183,0.047830464,0.219415704
0.77,,0.037776958,0.504314937,0.848184897
-1.05,,-0.899381961,-0.219125104,-0.055990108
-0.15,,-0.506877985,0.210395386,0.70658875
