"stk","alpha","beta","sigma","SREP","stkName","alpha_nBC"
1,1.43829308610405,0.000220058834565318,0.685247,5469.03780746337,"Kyuquot",1.20351008610405
1,1.77855056947908,0.000385192322082759,0.685247,4007.78385491131,"Kyuquot",1.54376756947908
1,1.52086762459431,0.000252744433295329,0.685247,5088.47853868073,"Kyuquot",1.28608462459431
1,1.87596365494196,0.000210077315451348,0.685247,7812.26974181342,"Kyuquot",1.64118065494196
1,1.96808908027875,0.000330425771048336,0.685247,5245.67461787113,"Kyuquot",1.73330608027875
1,1.15602309013447,0.000172038240007618,0.685247,5354.85651384062,"Kyuquot",0.92124009013447
1,1.59603909718954,0.000222884515750002,0.685247,6107.45027580287,"Kyuquot",1.36125609718954
1,1.88828597161098,0.00020421742608006,0.685247,8096.77706427828,"Kyuquot",1.65350297161098
1,1.61073393531867,0.000446183072764451,0.685247,3083.82594344869,"Kyuquot",1.37595093531867
1,1.55117050404162,0.000366662140098197,0.685247,3590.19205988673,"Kyuquot",1.31638750404162
1,1.54910150857131,0.000347778972221644,0.685247,3779.17762012845,"Kyuquot",1.31431850857131
1,1.69364104982212,0.000221569405237483,0.685247,6584.20348359237,"Kyuquot",1.45885804982212
1,1.62418265386116,0.000235934698044728,0.685247,5888.91615084849,"Kyuquot",1.38939965386116
1,1.2621466826461,0.000181849546913244,0.685247,5649.52566605091,"Kyuquot",1.0273636826461
1,1.89855071826689,0.000304775313918017,0.685247,5458.99763625355,"Kyuquot",1.66376771826689
1,1.40669879028768,0.000275775282642892,0.685247,4249.53164423084,"Kyuquot",1.17191579028768
1,1.14659433662655,0.000177447190939962,0.685247,5138.49406010068,"Kyuquot",0.911811336626547
1,1.46699650722619,0.00021623035688792,0.685247,5698.61477805772,"Kyuquot",1.23221350722619
1,1.88443245208516,0.000395296637850722,0.685247,4173.19373383622,"Kyuquot",1.64964945208516
1,1.7043651090562,0.000196394070234974,0.685247,7482.82322016105,"Kyuquot",1.4695821090562
1,1.66836545336831,0.000222809768777809,0.685247,6434.10951517981,"Kyuquot",1.43358245336832
1,1.67860486206779,0.000276226724683956,0.685247,5226.94487189731,"Kyuquot",1.44382186206779
1,1.71568618451789,0.000433986216643993,0.685247,3412.32769088771,"Kyuquot",1.48090318451789
