"stk","alpha","beta","sigma","SREP","stkName","alpha_nBC"
1,2.0873801722081,0.000317278053890968,0.685247,5469.03780746337,"Kyuquot",1.7352056722081
1,2.76789513895816,0.0006027572160604,0.685247,4007.78385491131,"Kyuquot",2.41572063895816
1,2.25252924918861,0.000373462270645895,0.685247,5088.47853868073,"Kyuquot",1.90035474918861
1,2.96272130988392,0.000334159840374118,0.685247,7812.26974181342,"Kyuquot",2.61054680988392
1,1.52284018026894,0.00021861756281296,0.685247,5354.85651384062,"Kyuquot",1.17066568026894
1,2.40287219437908,0.000335769855139672,0.685247,6107.45027580287,"Kyuquot",2.05069769437908
1,2.98736594322195,0.000325461776000726,0.685247,8096.77706427828,"Kyuquot",2.63519144322195
1,2.43226187063733,0.000674515166803202,0.685247,3083.82594344869,"Kyuquot",2.08008737063733
1,2.31313500808325,0.000546199332897281,0.685247,3590.19205988673,"Kyuquot",1.96096050808325
1,2.30899701714262,0.000517790565524177,0.685247,3779.17762012845,"Kyuquot",1.95682251714262
1,2.59807609964425,0.000341104524676517,0.685247,6584.20348359237,"Kyuquot",2.24590159964425
1,2.45915930772232,0.000357788216668486,0.685247,5888.91615084849,"Kyuquot",2.10698480772232
1,1.73508736529221,0.000244783889309929,0.685247,5649.52566605091,"Kyuquot",1.38291286529221
1,2.02419158057535,0.000393459143396492,0.685247,4249.53164423084,"Kyuquot",1.67201708057535
1,1.50398267325309,0.000224152866536646,0.685247,5138.49406010068,"Kyuquot",1.15180817325309
1,2.14478701445239,0.000314569870796455,0.685247,5698.61477805772,"Kyuquot",1.79261251445239
1,2.97965890417032,0.000629609975416837,0.685247,4173.19373383622,"Kyuquot",2.62748440417032
1,2.61952421811241,0.000303007254267809,0.685247,7482.82322016105,"Kyuquot",2.26734971811241
1,2.54752490673663,0.000341205010818856,0.685247,6434.10951517981,"Kyuquot",2.19535040673663
1,2.56800372413559,0.000423924353219986,0.685247,5226.94487189731,"Kyuquot",2.21582922413559
1,2.64216636903579,0.000671093774244186,0.685247,3412.32769088771,"Kyuquot",2.28999186903579
1,2.42295935914329,0.000343989262217864,0.685247,6019.9113361619,"Kyuquot",2.07078485914329
1,2.48672445851979,0.000508195166793462,0.685247,4200.25631488798,"Kyuquot",2.13454995851979
1,2.08969744157701,0.000353246057533938,0.685247,4918.73272049209,"Kyuquot",1.73752294157701
1,1.84317142071203,0.000157050076682771,0.685247,9493.76754348059,"Kyuquot",1.49099692071203
1,2.61654323268846,0.000171476897127837,0.685247,13205.0950921999,"Kyuquot",2.26436873268846
1,2.78038792817862,0.000251349072438692,0.685247,9660.72165940023,"Kyuquot",2.42821342817862
1,1.38430944329972,0.000397802271643352,0.685247,2594.59288413786,"Kyuquot",1.03213494329972
1,2.33977499347633,0.000500681460407023,0.685247,3969.79047688431,"Kyuquot",1.98760049347633
