"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,5,2015,40075.0814659394,27372.1300786025,52778.0328532763,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE,12458,24025.5430757446,0.599513268517355,6481.09764660045,0.161723879516224
"2",1,5,2016,40058.26619583,27404.3862254897,52712.1461661702,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE,60224,24285.177614173,0.606246348642544,6456.06120935728,0.161166765875387
"3",1,5,2017,40602.0778878464,28251.8285112972,52952.3272643955,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE,24750,26480.7964121266,0.652202985405662,6301.14764109652,0.155192738127885
"4",1,5,2018,39844.5650536777,28544.1886191205,51144.941488235,"SR_HierRicker_SurvCap","BinLogistic",FALSE,TRUE,34182,37072.1201089501,0.930418491430573,5765.49818089656,0.144699739428186
