"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,5,2015,15314.9595785744,13100.7512119414,17529.1679452075,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,11332.273039931,22153.2758587787,1.44651219907697,1129.69814624133,0.073764357029174
"2",1,5,2016,16394.1719503553,14386.6204423466,18401.7234583639,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,58149.104784075,22444.7626572815,1.36906961359492,1024.26097347381,0.0624771398381984
"3",1,5,2017,16844.3525014623,14905.6451711078,18783.0598318167,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,23808.127100194,25033.8953133996,1.48618923233923,989.13639303797,0.0587221380550011
"4",1,5,2018,16841.7402865134,14904.6480556991,18778.8325173277,"ThreshAbund_Subpop1000_ST","BinLogistic",FALSE,FALSE,31735.278822225,35286.0892224694,2.09515695065824,988.312362660358,0.058682318207447
