"","iCombn","nCUs","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel","Agg_Escp","Gen_Mean","status","se","cv"
"1",1,5,2015,13750.3270756283,11234.1037738244,16266.5503774322,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,12458,24025.5430757446,1.74727066080694,1283.78739887954,0.0933641353997302
"2",1,5,2016,13750.347838691,11234.1089795697,16266.5866978122,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,60224,24285.177614173,1.76615005664358,1283.79533628634,0.093364571670978
"3",1,5,2017,13735.7093444872,11246.6325649272,16224.7861240472,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,24750,26480.7964121266,1.9278797874938,1269.93713242858,0.0924551547050802
"4",1,5,2018,13735.3959717898,11247.102675968,16223.6892676117,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE,34182,37072.1201089501,2.69902084986046,1269.53739582748,0.0924281614039296
