"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",2015,13096.4637997378,10700.1261440574,15492.8014554181,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE
"2",2016,13096.4561703678,10700.1181031168,15492.7942376188,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE
"3",2017,13087.0463375246,10709.8546642848,15464.2380107645,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE
"4",2018,13086.8533620725,10710.143491897,15463.5632322479,"SR_HierRicker_Surv","BinLogistic",FALSE,TRUE
