"","z.value","Pr...z.2..","Mod","CU_ID","CU_Name","est_B","est_sigma","est_Smsy","est_Sgen","est_A","low_Sgen","up_Sgen","retroYr","BMmodel","LRPmodel","useGenMean","integratedModel"
"24",-15.1566459916674,0.000000000000000000000000000000000000000000000000000684780966409915,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",0.000038285530378096,NA,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"25",-8.15669216662286,0.000000000000000344324485159642,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",0.0000251918600744393,NA,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"26",-6.78578268417305,0.0000000000115458836604214,"SR_IndivRicker_NoSurv",2,"Loughborough",0.0000211410204524008,NA,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"27",-12.7831780438351,0.000000000000000000000000000000000000203577762432497,"SR_IndivRicker_NoSurv",3,"Georgia Strait",0.00000508339569621539,NA,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"28",-8.06739075133794,0.000000000000000718164175957392,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",0.0000090672909517531,NA,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"29",-0.338758499734294,0.734791667012609,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,0.919752720510731,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"30",-1.59643227417361,0.110392315269621,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,0.67421201675557,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"31",0.761245244973566,0.446510598450224,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,1.20680461616418,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"32",-1.54361464346675,0.122681715414102,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,0.683062935958377,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"33",0.180277431146786,0.856934772720107,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,1.04552204355034,NA,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"34",7.80325907634978,0.00000000000000603285200708576,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,18172.5012210013,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"35",3.24828491777822,0.00116102948343862,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,12642.8784199809,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"36",2.69097041771588,0.00712445120074716,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,26842.2501627825,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"37",4.9804179785949,0.000000634470891507021,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,106714.094795191,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"38",2.91248169212976,0.0035856921906401,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,49001.7748987585,NA,NA,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"39",1.78248719695714,0.0746698172300283,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,NA,3105.50496210441,NA,-309.268359193672,6520.27828340249,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"40",3.15045029991735,0.00163018990099619,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,NA,7585.45535899237,NA,2866.29108459798,12304.6196333868,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"41",1.15382863011885,0.248570433925462,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,NA,7755.05472135365,NA,-5418.398300251,20928.5077429583,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"42",1.54417502101092,0.122545938421233,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,NA,33683.0526585878,NA,-9070.38028297859,76436.4856001542,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"43",1.4318857366406,0.152176524892682,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,NA,21153.290467125,NA,-7801.84768016671,50108.4286144167,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"44",2.04180096463052,0.0411712785440077,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",NA,NA,NA,NA,6.59049970325818,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"45",1.94105609441116,0.0522514737850033,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",NA,NA,NA,NA,2.01768974369141,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"46",1.62413154324098,0.10434773720031,"SR_IndivRicker_NoSurv",2,"Loughborough",NA,NA,NA,NA,4.07789966746363,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"47",2.03106191897322,0.0422487138362162,"SR_IndivRicker_NoSurv",3,"Georgia Strait",NA,NA,NA,NA,3.75986377904069,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"48",1.77865072336655,0.0752970426235522,"SR_IndivRicker_NoSurv",4,"Howe Sound-Burrard Inlet",NA,NA,NA,NA,2.80629209596377,NA,NA,1971,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"49",-15.8839209033951,0.00000000000000000000000000000000000000000000000000000000818951728932244,"SR_IndivRicker_NoSurv",0,"Southern Coastal Streams",0.0000383878354356044,NA,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"50",-8.53067337969121,0.0000000000000000145498292284469,"SR_IndivRicker_NoSurv",1,"North East Vancouver Island",0.0000206714487803799,NA,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
"51",-6.6500270853154,0.0000000000293039088234226,"SR_IndivRicker_NoSurv",2,"Loughborough",0.0000171166876133467,NA,NA,NA,NA,NA,NA,1972,"SR_IndivRicker_NoSurv","BinLogistic",FALSE,TRUE
