"","CU_Name","Year","Escape","SumRawEsc","EscAvg","GroupSum","Props","Present","PresentProps","inverse_prop","GroupCount","GroupEsc","ContrEsc","SiteEsc"
"1","1 - Southern Coastal Streams","1953",28327.751068493,27075,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,680638.97411631,680638.97411631,4873.49455463539,28327.751068493
"2","1 - Southern Coastal Streams","1954",49645.4954090487,47450,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,836054.86562404,836054.86562404,5986.29962423943,49645.4954090487
"3","1 - Southern Coastal Streams","1955",23599.7215250521,22600,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,442655.839262313,442655.839262313,3169.49352631957,23599.7215250521
"4","1 - Southern Coastal Streams","1956",28481.6804834721,26325,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,383897.350942635,383897.350942635,2748.77243370752,28481.6804834721
"5","1 - Southern Coastal Streams","1957",31055.0116576208,27350,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,848405.339353264,848405.339353264,6074.73118451658,31055.0116576208
"6","1 - Southern Coastal Streams","1958",50016.982589211,46025,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,918158.357163564,918158.357163564,6574.1750385939,50016.982589211
"7","1 - Southern Coastal Streams","1959",8703.7530359432,7575,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,776211.898598906,776211.898598906,5557.81347369411,8703.7530359432
"8","1 - Southern Coastal Streams","1960",9643.88613944957,8275,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,471194.495970419,471194.495970419,3373.83531888903,9643.88613944957
"9","1 - Southern Coastal Streams","1961",14969.4317880275,11150,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,424252.643536963,424252.643536963,3037.72341387218,14969.4317880275
"10","1 - Southern Coastal Streams","1962",9779.07195743097,8375,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,458601.70947979,458601.70947979,3283.66875669731,9779.07195743097
"11","1 - Southern Coastal Streams","1963",15163.619354991,8700,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,445508.031580452,445508.031580452,3189.9157240776,15163.619354991
"12","1 - Southern Coastal Streams","1964",7297.8148936052,6250,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,517942.023766229,517942.023766229,3708.55582538271,7297.8148936052
"13","1 - Southern Coastal Streams","1965",2063.66321036323,1725,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,218211.597561004,218211.597561004,1562.43335000401,2063.66321036323
"14","1 - Southern Coastal Streams","1966",16042.6602710888,14025,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,574166.387115879,574166.387115879,4111.13213829237,16042.6602710888
"15","1 - Southern Coastal Streams","1967",18204.7202845896,14750,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,473799.053443767,473799.053443767,3392.48440768104,18204.7202845896
"16","1 - Southern Coastal Streams","1968",10718.4005844649,9100,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,1057202.0139578,1057202.0139578,7569.75203317182,10718.4005844649
"17","1 - Southern Coastal Streams","1969",16142.4669217942,13000,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,659750.176260754,659750.176260754,4723.92709453791,16142.4669217942
"18","1 - Southern Coastal Streams","1970",19677.5214706656,16275,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,885806.748326734,885806.748326734,6342.53183934177,19677.5214706656
"19","1 - Southern Coastal Streams","1971",10195.5512211781,6525,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,401370.63916814,401370.63916814,2873.88424519192,10195.5512211781
"20","1 - Southern Coastal Streams","1972",18654.2063317028,15775,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,1421992.76791954,1421992.76791954,10181.7178779459,18654.2063317028
"21","1 - Southern Coastal Streams","1973",47325.264541738,41125,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,1271479.27363274,1271479.27363274,9104.01483315889,47325.264541738
"22","1 - Southern Coastal Streams","1974",26076.1897929442,22731,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,843291.952806614,843291.952806614,6038.11843908396,26076.1897929442
"23","1 - Southern Coastal Streams","1975",14259.0616538703,12025,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,494178.479553484,494178.479553484,3538.40467664778,14259.0616538703
"24","1 - Southern Coastal Streams","1976",19912.5155003586,16650,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,551989.370578528,551989.370578528,3952.34080626035,19912.5155003586
"25","1 - Southern Coastal Streams","1977",48248.7886510211,40350,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,902904.93579129,902904.93579129,6464.95786352124,48248.7886510211
"26","1 - Southern Coastal Streams","1978",41266.4156140331,34215,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1,1120839.33268642,1120839.33268642,8025.40640808941,41266.4156140331
"27","1 - Southern Coastal Streams","1979",5491.79473679604,3225,5624.71782732213,785555.852943531,0.00716017557026141,1,0.00716017557026141,1.00440109354154,489786.585175213,491942.18175196,3522.39239176148,5491.79473679604
